"","ああ","like that, so"
"","コンサート","concert"
"今度","こんど","this time, now; next time, another time, shortly, soon; recently, lately, the other day"
"","コンピュータ, コンピューター","computer"
"今夜","こんや","this evening, tonight"
"ご主人","ごしゅじん","your husband, her husband"
"ご存知","ごぞんじ","knowing, being aware (of); (an) acquaintance"
"ご馳走","ごちそう","treat (esp. food and drink), entertainment, treating someone (to a meal), taking someone to dinner; gorgeous dinner, feast, excellent food, special dish, delicacy"
"塵","ゴミ, ごみ","rubbish, trash, garbage, refuse, litter"
"ご覧になる","ごらんになる","to see, to look, to watch; to try to ..."
"最近","さいきん","recently, lately, these days, nowadays, right now; nearest, closest"
"最後","さいご","end, conclusion; last, final, latest, most recent; no sooner than, once, right after (often having negative consequences); one's final moments"
"最初","さいしょ","beginning, outset, first, onset"
"坂","さか","slope, incline, hill; milestone, (age) mark"
"盛ん","さかん","prosperous, flourishing, thriving, successful; popular, widespread; active, lively, energetic, vigorous, brisk, strong; enthusiastic, eager, hearty, frequent, repeated"
"探す","さがす","to search for, to look for, to hunt for, to seek; to search (a house, pocket, etc.), to search through, to rummage in (e.g. a drawer), to fish around"
"下がる","さがる","to come down, to go down, to fall, to drop, to sink, to get lower; to hang, to dangle; to move back, to step back, to withdraw, to retire; to deteriorate, to fall off, to be downgraded; to get closer to the present day; below, south of"
"下げる","さげる","to hang, to suspend, to wear (e.g. decoration); to lower, to reduce, to bring down; to demote, to move back, to pull back; to clear (plates), to remove (food, etc. from table or altar); to keep on playing after one has formed a scoring combination with captured cards"
"差し上げる","さしあげる","to lift up, to hold up, to raise; to give, to present, to offer; to do (for someone)"
"先","さっき","a short while ago, a moment ago, just now, some time ago"
"寂しい","さびしい, さみしい","lonely, lonesome, solitary, desolate"
"再来月","さらいげつ","month after next"
"再来週","さらいしゅう","week after next"
"","サラダ, サラド","salad"
"然る","さる, しかる","a particular, a certain; that kind of, such a"
"騒ぐ","さわぐ","to make noise, to make racket, to be noisy; to rustle, to swoosh; to make merry; to clamor, to clamour, to make a fuss, to kick up a fuss; to lose one's cool, to panic, to act flustered; to feel tense, to be uneasy, to be excited"
"触る","さわる","to touch, to feel; to get involved (with), to approach; to be harmful to, to hinder, to interfere with, to irritate"
"産業","さんぎょう","industry; livelihood, occupation"
"","サンダル","sandal"
"","サンドイッチ, サンドウィッチ","sandwich"
"残念","ざんねん","regrettable, unfortunate, disappointing, vexing"
"市","し","city"
"試合","しあい","match, game, bout, contest"
"仕方","しかた","way, method, means, resource, course"
"試験","しけん","examination, exam, test; trial, experiment, test"
"下着","したぎ","underwear, undergarment, underclothes, lingerie"
"支度","したく","preparation, arrangements"
"確り","しっかり","tightly (holding on), firmly, securely; strongly (built), solidly, sturdily, steadily; properly, well, sufficiently, hard (working, etc.), fully, completely; reliably, dependably, levelheadedly, shrewdly, wisely, cleverly"
"失敗","しっぱい","failure, mistake, blunder"
"品物","しなもの","article, item, thing, goods, wares"
"暫く","しばらく","for a moment, for a minute; for a while, for some time; for the time being, for now; it's been a long time, long time no see"
"島","しま, シマ","island; one's territory (of a sex worker, organized crime gang, etc.), one's turf"
"市民","しみん","citizen (of a country), citizenry; citizen (of a city), resident, inhabitant, townspeople; bourgeoisie, middle class"
"社会","しゃかい","society, public, community, the world; social studies"
"社長","しゃちょう","company president, manager, director"
"習慣","しゅうかん","habit; (social) custom, practice, convention, tradition"
"出席","しゅっせき","attendance, presence, appearance"
"出発","しゅっぱつ","departure, leaving, setting off"
"趣味","しゅみ","hobby, pastime; tastes, preference, liking"
"紹介","しょうかい","introduction, presentation, referral, showcase (of a product)"
"小学校","しょうがっこう","primary school, elementary school, grade school"
"小説","しょうせつ","novel, story, (work of) fiction"
"招待","しょうたい, しょうだい","invitation"
"承知","しょうち","knowledge, awareness; acceptance, consent, assent, agreement, compliance, acknowledgment, acknowledgement; forgiving, pardoning, excusing"
"将来","しょうらい","future, (future) prospects; bringing (from abroad, another region, etc.); bringing about, giving rise to, causing, incurring"
"食事","しょくじ","meal, dinner; diet"
"食料品","しょくりょうひん","foodstuff, groceries"
"知らせる","しらせる","to notify, to advise, to inform"
"調べる","しらべる","to examine, to look up, to investigate, to check up, to sense, to study, to inquire, to search"
"親切","しんせつ","kind, gentle, considerate, generous, friendly, nice"
"心配","しんぱい","worry, concern, anxiety, uneasiness, fear; care, help, aid, assistance"
"新聞社","しんぶんしゃ","newspaper company"
"字","じ","character (esp. kanji), letter, written text; handwriting, penmanship; the ... word (e.g. ""the L word"" = ""love"")"
"事故","じこ, ことゆえ","accident, incident, trouble; circumstances, reasons"
"地震","じしん","earthquake"
"時代","じだい","period, epoch, era, age; the times, those days; oldness, ancientness, antiquity; antique, period piece"
"辞典","じてん","dictionary, lexicon"
"事務所","じむしょ","office"
"邪魔","じゃま","hindrance, obstacle, nuisance, disturbance, interruption, interference; to visit (someone's home); demon who hinders Buddhist training, demon who obstructs sentient beings from maintaining moral behaviour"
"","ジャム","jam"
"住所","じゅうしょ","address, residence, domicile"
"柔道","じゅうどう","judo"
"十分","じゅうぶん","enough, sufficient, plenty, adequate, satisfactory; sufficiently, fully, thoroughly, well, perfectly; division into ten"
"準備","じゅんび","preparation, arrangements, getting ready, provision, setup, reserving"
"自由","じゆう","freedom, liberty"
"女性","じょせい, にょしょう","woman, female; feminine gender"
"人口","じんこう","population; common talk"
"神社","じんじゃ, じんしゃ","Shinto shrine"
"水泳","すいえい","swimming"
"水道","すいどう","water supply, water service, waterworks, tap water; channel, strait; water course, waterway"
"数学","すうがく","mathematics"
"過ぎる","すぎる","to pass through, to pass by, to go beyond; to pass (of time), to elapse; to have expired, to have ended, to be over; to exceed, to surpass, to be above; to be no more than ...; to be excessive, to be too much, to be too ..."
"空く","すく","to become less crowded, to thin out, to get empty; to be hungry"
"","スクリーン","screen"
"凄い","すごい, スゴイ, スゴい","terrible, dreadful; amazing (e.g. of strength), great (e.g. of skills), wonderful, terrific; to a great extent, vast (in numbers); awfully, very, immensely"
"進む","すすむ","to advance, to go forward; to precede, to go ahead (of); to make progress, to improve; to deepen, to heighten; to be fast (of a clock), to be ahead; to do of one's own free will"
"","すっかり","all, completely, totally, entirely, thoroughly"
"","すっと, スッと, スーッと, すうっと","straight, quickly, directly, all of a sudden; quietly, gently, softly; to feel refreshed, to feel satisfied"
"捨てる","すてる","to throw away, to cast away, to dump, to discard; to abandon, to desert, to leave; to give up, to resign"
"","ステレオ","stereo (sound); stereo (player, set); stereo, stereophonic, stereoscopic"
"","ステーキ","steak"
"砂","すな, いさご","sand, grit"
"素晴らしい","すばらしい, すんばらしい","wonderful, splendid, magnificent"
"滑る","すべる","to slide, to glide, to skate, to ski; to slip, to skid; to be slippery; to fail (an examination); to lose (a position), to be demoted; to bomb (when telling a joke), to fall flat"
"隅","すみ, すま","corner, nook, recess; downstage right (on a noh stage)"
"済む","すむ","to finish, to end, to be completed, to be resolved; to have a result less severe than expected; to feel at ease; to feel unease or guilt for troubling someone, to be sorry"
"掏摸","すり, スリ","pickpocket"
"","すると","(and) then, and, thereupon, whereupon; in that case, then, so"
"","スーツ","suit (clothing); suit"
"","スーツケース","suitcase"
"随分","ずいぶん","very, extremely, surprisingly, fairly, quite, considerably, awfully, terribly; terrible, horrid, contemptible, reprehensible; remarkable, extraordinary"
"生活","せいかつ","life, living; livelihood, (one's) living"
"生産","せいさん","production, manufacture"
"政治","せいじ","politics, government"
"西洋","せいよう","the West, the Occident, Western countries"
"世界","せかい","the world, society, the universe; sphere, circle, world; world-renowned, world-famous; realm governed by one Buddha, space"
"席","せき","seat; location (of a gathering, etc.), place; position, post"
"説明","せつめい","explanation, exposition, description, account, caption, legend"
"背中","せなか","back (of the body)"
"世話","せわ","care, looking after, help, assistance, aid; trouble, bother; good offices, recommendation, introduction; everyday life, everyday affairs, everyday language; sewamono (Edo-period drama about contemporary life)"
"線","せん","line, stripe, stria; line (e.g. telephone line), wire; ray (e.g. X-ray), beam; line (e.g. of a railroad), track, route, lane; outline, contours, form; level; division; line (of action), position, approach, policy, principle; impression one leaves, air one gives off"
"戦争","せんそう","war; fighting, fierce competition"
"先輩","せんぱい","senior (at work or school), superior, elder, older graduate, progenitor, old-timer"
"是非","ぜひ","certainly, without fail; right and wrong, pros and cons"
"全然","ぜんぜん, ぜんっぜん","(not) at all, (not) in the slightest; wholly, entirely, completely, totally; extremely, very"
"","そう","appearing that, seeming that, looking like, having the appearance of"
"相談","そうだん","consultation, discussion, discussing, asking (someone) for advice"
"育てる","そだてる","to raise, to rear, to bring up; to train, to teach, to educate; to promote the growth of, to nurture, to foster, to develop"
"卒業","そつぎょう","graduation, completion (of a course); moving on (from), outgrowing (something); leaving (a group, company, etc.), quitting"
"祖父","そふ, じじ, じい, おおじ, おじ, そぶ","grandfather; old man; kyogen mask used for the role of an old man"
"","ソフト","soft; software; soft hat, felt hat; soft serve ice cream; softball"
"祖母","そぼ, ばば, おおば, おば, うば","grandmother"
"其れで","それで","so, therefore, and, (and) then"
"其れに","それに","besides, in addition, also, moreover"
"それ程","それほど","to that degree, to that extent, that much"
"","そろそろ, ソロソロ","soon, before long, any time now, momentarily; slowly, quietly, steadily, gradually, gingerly; already, about time"
"","そんな","such, that sort of, that kind of, like that; no way!, never!"
"","そんなに","so much, so, like that"
"退院","たいいん","leaving hospital, discharge from hospital"
"大抵","たいてい","mostly, ordinarily, usually, generally; probably; most, almost all; ordinary; proper, appropriate, moderate"
"台風","たいふう","typhoon, hurricane"
"","タイプ","type, kind, sort, style; type (of person), (ideal) type, one's type; typewriter; typing (on a typewriter)"
"倒れる","たおれる","to fall (over, down), to collapse, to take a fall, to topple; to be destroyed (in a collapse), to collapse, to cave in, to crumble, to give away; to be confined to bed (with an illness), to come down with, to break down (e.g. from overwork); to die, to be killed; to go bankrupt (of a company, bank, etc.), to fail, to collapse, to go under; to be defeated (in a game), to lose; to fall (of a government, dictator, etc.), to be overthrown"
"確か","たしか","sure, certain, positive, definite; reliable, trustworthy, safe, sound, firm, accurate, correct, exact; If I'm not mistaken, If I remember correctly, If I remember rightly"
"足す","たす","to add (numbers); to add (something), to top up (with something); to take care of (e.g. one's business)"
"訪ねる","たずねる","to visit, to call on, to pay a visit to"
"尋ねる","たずねる","to ask, to enquire, to inquire; to search, to look for, to look into, to investigate"
"畳","たたみ","tatami mat, Japanese straw floor coverings"
"正しい","ただしい","right, correct; proper, righteous, just, honest, truthful, lawful"
"建てる","たてる","to build, to construct"
"立てる","たてる","to stand up, to put up, to set up, to erect, to raise; to thrust into, to bury into, to dig into; to make (a noise), to start (a rumour), to raise (a cloud of dust, etc.), to cause; to make, to establish, to set up, to develop, to formulate; to put up (a political candidate), to make (one's leader); to treat with respect, to give (someone) their due, to make (someone) look good, to avoid embarrassing (someone); to sharpen, to make clear; to shut, to close; to make tea (matcha), to perform the tea ceremony; to divide by; to do ... vigorously"
"例えば","たとえば","for example, for instance, e.g."
"棚","たな","shelf, ledge, rack; trellis"
"楽しみ","たのしみ","enjoyment, pleasure, amusement, delight, joy, fun, diversion, hobby; anticipation, looking forward to, something to look forward to"
"楽しむ","たのしむ","to enjoy, to take pleasure in, to have a good time, to have fun, to amuse oneself; to look forward to"
"偶に","たまに","occasionally, once in a while, now and then"
"為","ため","good, advantage, benefit, welfare; sake, purpose, objective, aim; consequence, result, effect; affecting, regarding, concerning"
"足りる","たりる","to be sufficient, to be enough; to be worth doing, to be worthy of, to deserve; to do (the job), to serve, to answer"
"大学生","だいがくせい","university student, college student"
"大事","だいじ","important, serious, crucial; valuable, precious; serious matter, major incident, matter of grave concern, crisis; great undertaking, great enterprise, great thing; safe, OK"
"大体","だいたい","generally, on the whole, mostly, almost, nearly, approximately, roughly, about; general, rough; outline, main points, gist, substance, essence; in the first place, first and foremost, from the start, to begin with"
"大分","だいぶ, だいぶん","considerably, greatly, a lot"
"","だから","so, therefore, accordingly, consequently, on those grounds, that is why, for that reason; like I said, I told you already"
"駄目","だめ, ダメ, だーめ","no good, not serving its purpose, useless, broken; hopeless, wasted, in vain, purposeless; cannot, must not, not allowed; neutral point, intersection owned by neither player at the end of a game; no!, stop!"
"男性","だんせい","man, male; masculine gender"
"暖房","だんぼう","(indoor) heating"
"血","ち","blood; blood, ancestry, lineage, stock; (the) blood, feelings, passions"
"","チェック","check (pattern), plaid; check, inspection, examination, looking over, scrutinizing; check (mark), tick, marking with a check, checking off, ticking; checking (something) out, following (with interest), keeping one's eye on, keeping a close watch on; check (bill of exchange), cheque; (restaurant) bill, check; check (in chess)"
"力","ちから","force, strength, might, vigour, vigor, energy; capability, ability, proficiency, capacity, faculty; efficacy, effect; effort, endeavours, endeavors, exertions; power, authority, influence, good offices, agency; support, help, aid, assistance; stress, emphasis; means, resources"
"些とも","ちっとも","(not) at all, (not) a bit, (not) in the least, (not) in the slightest"
"","ちゃん","suffix for familiar person"
"注意","ちゅうい","attention, notice, heed; care, caution, precaution, looking out (for), watching out (for); advice, warning, caution, reminder; admonishment, reprimand, telling-off"
"中学校","ちゅうがっこう","junior high school, middle school, lower secondary school"
"注射","ちゅうしゃ","injection, jab, shot"
"駐車場","ちゅうしゃじょう","parking lot, car park, carpark, parking garage"
"地理","ちり","geography"
"捕まえる","つかまえる","to catch, to capture, to arrest, to seize, to restrain; to grab, to clutch, to grasp, to seize, to hold on to; to catch hold of (someone), to stop (e.g. a stranger in the street), to hail (a taxi, waiter, etc.), to hold (someone) back, to detain; towards (someone), at (someone), in (someone's) face"
"月","つき","Moon; month; moonlight; (a) moon, natural satellite"
"付く","つく","to be attached, to be connected with, to adhere, to stick, to cling; to remain imprinted, to scar, to stain, to dye; to bear (fruit, interest, etc.); to be acquired (of a habit, ability, etc.), to increase (of strength, etc.); to take root; to accompany, to attend, to follow, to study with; to side with, to belong to; to possess, to haunt; to be lit, to catch fire, to ignite, to be turned on (of a light, appliance, etc.); to be settled, to be resolved, to be decided; to be given (of a name, price, etc.); to be sensed, to be perceived; to be lucky; to become (a state, condition, etc.)"
"漬ける","つける","to soak (in), to steep, to dip, to dunk; to pickle, to preserve (in salt, vinegar, etc.)"
"都合","つごう","circumstances, condition, convenience; arranging, managing; lending money, raising money; in all, in total, all told"
"伝える","つたえる","to convey, to report, to transmit, to communicate, to tell, to impart, to propagate, to teach, to bequeath"
"包む","つつむ","to wrap up, to pack, to bundle, to do up; to cover, to envelop, to shroud, to engulf; to conceal (a feeling), to hide; to give (money in an envelope; as a wedding gift, funeral offering, etc.)"
"続く","つづく","to continue, to last, to go on; to continue (without a break), to be unbroken; to occur again and again; to lead to, to connect to, to adjoin; to come after, to follow, to succeed, to rank next to; to hold out, to keep, to last"
"続ける","つづける","to continue, to keep up, to keep on"
"妻","つま","wife; garnish (esp. one served with sashimi), trimmings; accompaniment, side (remark)"
"積もり","つもり","intention, plan, purpose, expectation; belief, assumption, thought, conviction; estimate, estimation, calculation"
"釣る","つる","to fish, to angle, to catch; to lure in, to tempt, to attract, to entice, to allure"
"連れる","つれる","to take (someone) with one, to bring along, to go with, to be accompanied by"
"丁寧","ていねい","polite, courteous, civil; careful, close, thorough, conscientious"
"","テキスト, テクスト","text; textbook"
"適当","てきとう, テキトー","suitable, proper, appropriate, adequate, fit, fair; perfunctory, half-minded, sloppy, lazy, careless, noncommittal, unreliable, irresponsible, haphazard"
"手伝う","てつだう","to help, to assist, to aid; to contribute to, to be a factor in"
"","テニス","tennis"
"手袋","てぶくろ","glove, mitten, mitt"
"寺","てら","temple (Buddhist)"
"点","てん","dot, spot, point, speck, mark; mark (in an exam, etc.), grade, score, points; point (in a game), score, goal, run; point; point, aspect, matter, detail, part, respect, way, viewpoint; (punctuation) mark (e.g. comma, period, decimal point), dot; ""dot"" stroke (in a Chinese character); counter for points, marks, goals, etc.; counter for goods, items, articles of clothing, works of art, etc."
"店員","てんいん, ていいん","employee (of a store), shop assistant, clerk, salesperson"
"天気予報","てんきよほう","weather forecast, weather report"
"展覧会","てんらんかい","exhibition"
"出来るだけ","できるだけ","as much as one can, as much as possible, if at all possible"
"電灯","でんとう","electric light"
"電報","でんぽう","telegram"
"都","と","Metropolis (of Tokyo), (Tokyo) Metropolitan District, metropolitan prefecture; counter for cities and towns; capital"
"丁々","とうとう","with a chopping sound (of an axe), with a thump (when hammering a post into the ground)"
"遠く","とおく","far away, distant place, a (great) distance, a long way off, afar; long ago, far back, far (into the future); by far"
"通る","とおる","to go by, to go past, to go along, to travel along, to pass through, to use (a road), to take (a route), to go via, to go by way of; to run (between; of a rail service, bus route, etc.), to operate (between), to connect; to go indoors, to go into a room, to be admitted, to be shown in, to be ushered in, to come in; to penetrate, to pierce, to skewer, to go through, to come through; to permeate, to soak into, to spread throughout; to carry (e.g. of a voice), to reach far; to be passed on (e.g. of a customer's order to the kitchen), to be relayed, to be conveyed; to pass (a test, a bill in the House, etc.), to be approved, to be accepted; to go by (a name), to be known as, to be accepted as, to have a reputation for; to be coherent, to be logical, to be reasonable, to be comprehensible, to be understandable, to make sense; to get across (e.g. of one's point), to be understood; to pass for, to come across as, to seem like; to be straight (e.g. wood grain); to be well-informed, to be wise; to do ... completely, to do ... thoroughly"
"特に","とくに","particularly, especially, in particular, expressly"
"特別","とくべつ","special, particular, extraordinary, exceptional, especial"
"床屋","とこや","barbershop, barber shop, barber"
"途中","とちゅう","on the way, en route; in the middle of, midway, halfway"
"特急","とっきゅう","limited express (train for which a limited-express ticket is required); limited express (train making a limited no. of stops); great hurry"
"届ける","とどける","to deliver, to forward, to send; to report, to notify, to file notice (to the authorities), to give notice, to register"
"泊まる","とまる","to stay at (e.g. hotel); to be docked, to be berthed, to be moored"
"止める","とめる","to stop, to turn off; to park; to prevent, to suppress (a cough), to hold back (tears), to hold (one's breath), to relieve (pain); to stop (someone from doing something), to dissuade, to forbid, to prohibit; to notice, to be aware of, to concentrate on, to pay attention to, to remember, to bear in mind; to fix (in place), to fasten, to tack, to pin, to nail, to button, to staple; to detain, to keep in custody"
"取り替える","とりかえる","to exchange, to swap, to barter; to replace, to substitute"
"道具","どうぐ","tool, implement, instrument, utensil, apparatus, device; means; furniture"
"動物園","どうぶつえん","zoo, zoological gardens"
"泥棒","どろぼう, ドロボー, どろぼー","thief, burglar, robber; theft, burglary, robbery"
"","どんどん, ドンドン","drumming (noise), beating, pounding, banging, booming, stamping; rapidly, quickly, steadily; continuously, one after the other, in succession"
"直す","なおす","to repair, to mend, to fix, to correct (a mistake, bad habit, etc.), to put right, to restore, to straighten (e.g. a tie), to tidy up (one's hair, make-up, etc.), to revive (one's spirits); to change, to alter, to convert, to translate; to put back, to put away; to cure, to heal; to move up, to promote; to do over again, to redo"
"治る","なおる","to get better, to get well, to recover (from an illness), to be cured, to be restored, to heal"
"中々","なかなか","very, considerably, easily, readily, fairly, quite, highly, rather; by no means, not readily; middle, half-way point; excellent, wonderful, very good"
"泣く","なく","to cry, to shed tears, to weep, to sob; to suffer (from), to be troubled (by), to face hardship; to accept (an unreasonable request, loss, etc.), to do reluctantly, to make sacrifices; to be not worth worth the name, to suffer (of a reputation), to be spoiled, to be put to shame; to lament, to bemoan, to bewail"
"無くなる","なくなる","to be lost (e.g. luggage), to be missing; to be used up, to be run out, to be exhausted, to be consumed, to be reduced to zero, to not occur any more; to disappear (e.g. pain), to be lost (e.g. a dream, confidence)"
"亡くなる","なくなる","to die, to pass away"
"投げる","なげる","to throw, to hurl, to fling, to toss, to cast; to give up, to abandon, to throw away; to cast (a glance, shadow, doubt, etc.)"
"為さる","なさる","to do"
"鳴る","なる","to sound, to ring, to resound, to echo, to roar, to rumble"
"成るべく","なるべく","as (much) as possible, as (much) as one can, wherever practicable, if possible"
"成る程","なるほど","I see, that's right, indeed"
"慣れる","なれる","to get used to, to grow accustomed to, to become familiar with; to become skilled in, to become experienced at; to become tame, to become domesticated; to get used to doing"
"匂い","におい","smell, scent, odour, odor, stench; aura, whiff, smack, flavour, flavor, mood; faint, mist-like pattern along the temper line of a Japanese sword"
"二階建て","にかいだて","two-storied building"
"苦い","にがい","bitter"
"逃げる","にげる","to run away, to flee, to get away (e.g. from danger), to escape, to break out, to leave (e.g. one's spouse); to avoid (a question, responsibility, etc.), to evade, to dodge, to shirk, to back away; to win without being overtaken, to hold off the other contenders (until the finish), to keep the lead (and win); to escape (of heat, a gas, etc.), to leak out (e.g. of a scent), to be lost (e.g. of flavor); to fail to hold an ideal posture"
"日記","にっき","diary, journal"
"入院","にゅういん","hospitalization, hospitalisation"
"入学","にゅうがく","admission (to a school or university), entrance, enrolment, enrollment, matriculation"
"似る","にる","to resemble, to look like, to be like, to be alike, to be similar, to take after"
"人形","にんぎょう","doll, puppet, marionette; puppet (person under the control of another), straw man, yes-man"
"盗む","ぬすむ","to steal; to plagiarize, to steal (a technique, idea, etc.), to watch and learn; to do stealthily; to do during scant time; to steal a base"
"塗る","ぬる","to paint, to plaster, to lacquer, to varnish, to spread, to smear, to put up (wallpaper)"
"濡れる","ぬれる","to get wet"
"値段","ねだん","price, cost"
"熱心","ねっしん","zealous, enthusiastic, ardent, fervent, keen, eager"
"熱","ねつ","heat; fever, temperature; zeal, passion, enthusiasm, mania, craze, rage"
"寝坊","ねぼう","sleeping in late, oversleeping; late riser, sleepyhead"
"眠い","ねむい","sleepy, drowsy, somnolent"
"眠る","ねむる, ねぶる","to sleep; to die, to rest (in peace), to lie (buried), to sleep (in the grave); to lie idle (e.g. of resources), to lie unused, to lie untapped, to lie untouched; to close one's eyes"
"残る","のこる","to remain, to be left"
"喉","のど, のんど, のみと, のみど, ノド","throat; singing voice; gutter (inner margins of a book)"
"乗り換える","のりかえる","to transfer (trains), to change (bus, train); to change (to another ideology, party, company, etc.), to switch (to a different system, method, etc.), to move on to (e.g. a new love interest)"
"乗り物","のりもの","vehicle, conveyance, (means of) transport; ride (at a fair, amusement park, etc.), attraction"
"葉","は","leaf, blade (of grass), (pine) needle"
"拝見","はいけん","seeing, looking at"
"歯医者","はいしゃ","dentist"
"運ぶ","はこぶ","to carry, to transport, to move, to convey; to come, to go; to use (a brush, chopsticks, etc.), to move; to carry out, to proceed with, to arrange; to go (well, etc.), to proceed, to progress"
"始める","はじめる","to start, to begin, to commence, to initiate, to originate; to start up (a business, society, etc.), to open (e.g. a store), to establish; to start ..., to begin to ..."
"筈","はず","should (be), bound (to be), expected (to be), must (be); nock (of a bow); nock (of an arrow); nock-shaped grip (between thumb and forefinger); wooden frame on the tip of the mast of a Japanese ship that prevents the hawser from falling out"
"恥ずかしい","はずかしい","embarrassing, embarrassed, ashamed, humiliated, shy; disgraceful, shameful"
"","はっきり, ハッキリ","clearly, plainly, distinctly; to be clear, to be definite, to be certain, to be exact, to become clear, to clear up"
"発音","はつおん","pronunciation; production of sound"
"花見","はなみ","cherry blossom viewing, flower viewing"
"林","はやし","wood, woods, forest, grove, copse, thicket; bunch (of something), cluster, line, collection"
"払う","はらう","to pay (e.g. money, bill); to brush off, to wipe away, to clear away, to dust off, to cut off (e.g. branches); to drive away (e.g. one's competitors); to sell off (something unneeded), to dispose of; to pay (e.g. attention), to show (e.g. respect, concern); to make (e.g. effort, sacrifice), to expend, to exert; to move out (of one's own place), to vacate; to sweep (e.g. one's legs), to knock aside; to make a sweeping stroke (in Japanese calligraphy); to reset (an abacus)"
"反対","はんたい","opposition, resistance, antagonism, hostility, objection, dissent; reverse, opposite, inverse, contrary"
"","ハンドバッグ, ハンドバック","handbag, purse"
"場合","ばあい","case, occasion, situation, circumstances"
"倍","ばい","double, twice (as much); times (as much), -fold; 1-nth, 1 to n, 1 in n"
"場所","ばしょ","place, location, spot, position, area; room, space; sumo tournament"
"番組","ばんぐみ","program (e.g. TV), programme"
"","パソコン","personal computer, PC"
"","パート","part; part-timer; part-time (work)"
"日","ひ","day, days; sun, sunshine, sunlight; (the) day, daytime, daylight; date, deadline; (past) days, time (e.g. of one's childhood); case (esp. unfortunate), event"
"火","ひ","fire, flame, blaze"
"冷える","ひえる","to grow cold (from room temperature, e.g. in refrigerator), to get chilly, to cool down"
"光","ひかり","light; illumination, ray, beam, gleam, glow; happiness, hope; influence, power; vision, eyesight; optical fiber, optical fibre"
"光る","ひかる","to shine, to glitter, to be bright"
"引き出し","ひきだし","drawer; withdrawal (of money from an account); variety of knowledge and experience useful for handling things impromptu"
"引き出す","ひきだす","to pull out, to take out, to draw out; to lead out (e.g. a horse from a stable), to summon (e.g. to court), to bring (e.g. someone to the negotiating table), to drag; to withdraw (money), to draw; to bring out (talent, potential, beauty, flavour, etc.), to extract (information, the truth, etc.), to get (e.g. an answer out of someone), to obtain (e.g. a result), to elicit, to draw (a conclusion), to derive (e.g. pleasure); to get (money) out of someone, to coax out of someone, to get someone to pay, to make someone produce (funds)"
"髭","ひげ, ヒゲ","moustache, mustache, beard, whiskers, sideburns; whiskers (on a cat, etc.), feelers (on an insect, etc.), (chin) tuft; shadow (on a candlestick chart)"
"飛行場","ひこうじょう","airfield, airport"
"久しぶり","ひさしぶり","a long time (since the last time), first in a long time; it's been a long time, long time no see"
"非常に","ひじょうに","very, extremely, exceedingly"
"引っ越す","ひっこす","to move (house), to change residence"
"必要","ひつよう","necessary, needed, essential, indispensable; necessity, need, requirement"
"酷い","ひどい, ヒドイ, ヒドい, ひでー, ひでえ, ひでぇ","cruel, heartless, hard, harsh, severe; violent, intense, strong, heavy, extreme; very bad, terrible, awful; excessive, exorbitant, unreasonable, outrageous, unfair, unjust"
"開く","ひらく","to open, to undo, to unseal, to unpack; to bloom, to unfold, to spread out; to open (for business, e.g. in the morning); to be wide (gap, etc.), to widen; to hold (meeting, party, etc.), to give, to open; to found (nation, dynasty, sect, etc.), to open (a new business), to set up, to establish, to start; to open (ports, borders, etc.); to open (an account); to open up (new land, path, etc.), to clear, to develop; to open (a file, etc.); to extract (root), to reduce (equation); to cut open (fish); to change (kanji into hiragana); to flare (e.g. skirt); to slacken (into a poor posture)"
"昼間","ひるま, ちゅうかん","daytime, during the day, time from sunrise until sunset, diurnal period"
"昼休み","ひるやすみ","lunch break, noon recess, noon rest period"
"拾う","ひろう","to pick up, to gather; to find (and pick up; something someone has dropped); to select, to choose, to pick out; to get (unexpectedly), to hit upon (luck, an opportunity, etc.), to snatch (an unexpected victory), to pull off; to pick up (someone; in a car, etc.); to flag down (a taxi), to hail; to pick up (a signal, sound, interference, etc.); to (just manage to) return (the ball), to return (a difficult shot); to take on (someone in adverse circumstances), to employ, to give a job, to take in; to walk, to go on foot"
"美術館","びじゅつかん","art museum, art gallery"
"吃驚","びっくり, ビックリ","to be surprised, to be amazed, to be frightened, to be astonished, to get startled, to jump; surprise (e.g. surprise party)"
"","ビル","multi-floor building, multi-storey building"
"","ピアノ, ピヤノ","piano (instrument); piano (dynamic)"
"ＦＡＸ","ファックス, ファクス","fax, facsimile; fax machine"
"増える","ふえる","to increase, to multiply"
"深い","ふかい","deep; profound; dense, thick; close (relationship); intense, strong; late"
"複雑","ふくざつ","complex, complicated, intricate, mixed (feelings)"
"復習","ふくしゅう","review (of learned material), revision"
"普通","ふつう, フツー","normal, ordinary, regular, usual, common, average; normally, ordinarily, usually, generally, commonly; local train, train that stops at every station"
"太る","ふとる","to put on weight, to gain weight, to grow fat, to get stout"
"布団","ふとん","futon, Japanese bedding consisting of a mattress and a duvet; round cushion used for Zen meditation (traditionally made of woven bulrush leaves)"
"船","ふね","ship, boat, watercraft, vessel, seaplane; tank, tub, vat, trough; counter for boat-shaped containers (e.g. of sashimi)"
"不便","ふべん","inconvenience, inexpediency, unhandiness"
"踏む","ふむ","to step on, to tread on, to trample on; to set foot on (e.g. foreign soil), to stand on, to visit; to experience, to undergo; to follow (rules, principles, etc.), to go through (e.g. formalities), to complete; to estimate, to guess, to judge, to value, to appraise; to rhyme; to succeed to (e.g. the throne)"
"降り出す","ふりだす","to begin to rain, to begin to snow"
