"ああ","อย่างนั้น, เช่นนั้น"
"部長(ぶちょう)","หัวหน้าแผนก, ผู้จัดการแผนก"
"葡萄(ぶどう)","องุ่น"
"文化(ぶんか)","วัฒนธรรม"
"文学(ぶんがく)","วรรณกรรม"
"文法(ぶんぽう)","ไวยากรณ์"
"プレゼント","ของขวัญ"
"変(へん)","แปลก, ประหลาด"
"返事(へんじ)","การตอบ, คำตอบ"
"別(べつ)","ต่างกัน, แยก, ยกเว้น"
"ベル","กระดิ่ง, เสียงกริ่ง"
"放送(ほうそう)","การออกอากาศ, รายการ"
"法律(ほうりつ)","กฎหมาย"
"星(ほし)","ดาว"
"殆ど(ほとんど)","เกือบ, แทบจะ"
"程(ほど)","ขนาด, ระดับ, ประมาณ"
"褒める(ほめる)","ชมเชย, ยกย่อง"
"翻訳(ほんやく)","การแปล (ภาษา)"
"貿易(ぼうえき)","การค้า, การค้าต่างประเทศ"
"僕(ぼく)","ผม, ฉัน (ผู้ชาย)"
"参る(まいる)","ไป, มา (ถ่อมตน), แพ้"
"負ける(まける)","แพ้"
"真面目(まじめ)","จริงจัง, ซื่อสัตย์"
"先ず(まず)","ก่อนอื่น, อันดับแรก"
"又は(または)","หรือ"
"間違える(まちがえる)","ทำผิด, สับสน"
"真中(まなか)","กลาง, ศูนย์กลาง"
"間に合う(まにあう)","ทัน, พอ"
"周り(まわり)","รอบ ๆ, บริเวณโดยรอบ"
"回る(まわる)","หมุน, เวียน, ไปรอบ"
"漫画(まんが)","การ์ตูน, มังงะ"
"見える(みえる)","มองเห็น, ดูเหมือน"
"湖(みずうみ)","ทะเลสาบ"
"味噌(みそ)","มิโสะ (เต้าเจี้ยวญี่ปุ่น)"
"見つかる(みつかる)","ถูกพบ, ถูกค้นพบ"
"見つける(みつける)","พบ, ค้นพบ"
"皆(みな)","ทุกคน, ทั้งหมด"
"港(みなと)","ท่าเรือ"
"向かう(むかう)","หันไป, มุ่งหน้าไป"
"迎える(むかえる)","ต้อนรับ, ไปรับ"
"昔(むかし)","สมัยก่อน, อดีต"
"虫(むし)","แมลง, หนอน"
"息子(むすこ)","ลูกชาย"
"娘(むすめ)","ลูกสาว"
"無理(むり)","เป็นไปไม่ได้, ฝืน, ไม่มีเหตุผล"
"召し上がる(めしあがる)","ทาน, ดื่ม (ภาษาสุภาพมาก)"
"珍しい(めずらしい)","หายาก, ไม่ค่อยมี, แปลกใหม่"
"申し上げる(もうしあげる)","กล่าว, บอก (ถ่อมตน)"
"申す(もうす)","พูด, เรียกว่า (ถ่อมตน)"
"もう直ぐ(もうすぐ)","เร็ว ๆ นี้, ใกล้แล้ว"
"若し(もし)","ถ้า, หากว่า"
"勿論(もちろん)","แน่นอน, ไม่ต้องพูดถึง"
"最も(もっとも)","ที่สุด, อย่างยิ่ง"
"戻る(もどる)","กลับ, กลับไป"
"木綿(もめん)","ฝ้าย, ผ้าฝ้าย"
"貰う(もらう)","ได้รับ, รับ"
"森(もり)","ป่า"
"焼く(やく)","เผา, ย่าง, อบ, ทอด"
"約束(やくそく)","สัญญา, นัดหมาย"
"役に立つ(やくにたつ)","มีประโยชน์"
"焼ける(やける)","ไหม้, ไหม้เกรียม"
"優しい(やさしい)","อ่อนโยน, ใจดี"
"痩せる(やせる)","ผอมลง, น้ำหนักลด"
"漸と(やっと)","ในที่สุด, แทบจะ"
"矢張り(やはり)","อย่างที่คาดไว้, ก็ยังคง"
"止む(やむ)","หยุด (ฝน/เสียง)"
"止める(やめる)","เลิก, หยุด"
"柔らかい(やわらかい)","อ่อน, นุ่ม, ยืดหยุ่น"
"湯(ゆ)","น้ำร้อน"
"輸出(ゆしゅつ)","การส่งออก"
"輸入(ゆにゅう)","การนำเข้า"
"指(ゆび)","นิ้ว"
"指輪(ゆびわ)","แหวน"
"夢(ゆめ)","ความฝัน"
"揺れる(ゆれる)","สั่น, โยกเยก"
"用(よう)","ธุระ, การใช้งาน"
"用意(ようい)","การเตรียมพร้อม"
"用事(ようじ)","ธุระ, งาน"
"汚れる(よごれる)","สกปรก"
"予習(よしゅう)","การเตรียมบทเรียนล่วงหน้า"
"予定(よてい)","แผน, กำหนดการ"
"予約(よやく)","การจอง, การนัดหมาย"
"寄る(よる)","เข้าใกล้, แวะ"
"喜ぶ(よろこぶ)","ดีใจ, ยินดี"
"宜しい(よろしい)","ดี, โอเค"
"理由(りゆう)","เหตุผล"
"両方(りょうほう)","ทั้งสอง, ทั้งสองฝ่าย"
"旅館(りょかん)","โรงแรมแบบญี่ปุ่น"
"利用(りよう)","การใช้ประโยชน์"
"留守(るす)","ไม่อยู่บ้าน, ดูแลบ้าน"
"冷房(れいぼう)","เครื่องปรับอากาศ"
"歴史(れきし)","ประวัติศาสตร์"
"レジ","แคชเชียร์, เครื่องคิดเงิน"
"レポート","รายงาน"
"連絡(れんらく)","การติดต่อ, การแจ้ง"
"沸かす(わかす)","ต้ม (น้ำ)"
"別れる(わかれる)","แยก, แยกจากกัน"
"沸く(わく)","เดือด, คึกคัก"
"訳(わけ)","เหตุผล, ความหมาย"
"忘れ物(わすれもの)","ของลืม, ของหาย"
"笑う(わらう)","หัวเราะ, ยิ้ม"
"割合(わりあい)","อัตราส่วน, สัดส่วน"
"割れる(われる)","แตก, แยก"
