"愛(あい)","ความรัก, ความเสน่หา"
"決定(けってい)","การตัดสินใจ, การกำหนด"
"欠点(けってん)","จุดอ่อน, ข้อบกพร่อง"
"結論(けつろん)","บทสรุป, ข้อสรุป"
"煙(けむり)","ควัน"
"券(けん)","ตั๋ว, บัตร"
"県(けん)","จังหวัด, อำเภอ"
"軒(けん)","ตัวนับอาคาร"
"喧嘩(けんか)","การทะเลาะ, การต่อสู้"
"見解(けんかい)","ความคิดเห็น, มุมมอง"
"健康(けんこう)","สุขภาพ; มีสุขภาพดี"
"検査(けんさ)","การตรวจสอบ, การสำรวจ"
"建設(けんせつ)","การก่อสร้าง"
"建築(けんちく)","สถาปัตยกรรม, การก่อสร้าง"
"検討(けんとう)","การพิจารณา, การศึกษา"
"見当(けんとう)","การประมาณ, การเดา"
"憲法(けんぽう)","รัฐธรรมนูญ; กฎระเบียบ"
"権利(けんり)","สิทธิ, สิทธิพิเศษ"
"ケース","กล่อง, กรณี"
"下(げ)","ต่ำ, รอง"
"芸術(げいじゅつ)","ศิลปะ"
"劇(げき)","ละคร; ยาแรง"
"劇場(げきじょう)","โรงละคร"
"月曜(げつよう)","วันจันทร์"
"限界(げんかい)","ขีดจำกัด, ขอบเขต"
"現金(げんきん)","เงินสด"
"言語(げんご)","ภาษา"
"現在(げんざい)","ปัจจุบัน, ขณะนี้"
"現象(げんしょう)","ปรากฏการณ์"
"現実(げんじつ)","ความเป็นจริง"
"現状(げんじょう)","สภาพปัจจุบัน, สถานการณ์ปัจจุบัน"
"現代(げんだい)","ยุคปัจจุบัน, สมัยปัจจุบัน"
"現場(げんば)","สถานที่จริง, ที่เกิดเหตุ"
"ゲーム","เกม"
"恋(こい)","ความรัก (โรแมนติก)"
"濃い(こい)","เข้ม, หนาแน่น; เข้มข้น"
"恋人(こいびと)","คนรัก, แฟน"
"幸運(こううん)","โชคดี, โชคลาภ"
"講演(こうえん)","การบรรยาย, สุนทรพจน์"
"効果(こうか)","ผล, ประสิทธิภาพ"
"高価(こうか)","ราคาแพง, มีมูลค่าสูง"
"硬貨(こうか)","เหรียญ; สกุลเงินแข็ง"
"交換(こうかん)","การแลกเปลี่ยน"
"航空(こうくう)","การบินพาณิชย์, การบิน"
"光景(こうけい)","ฉาก, ทัศนียภาพ"
"貢献(こうけん)","การมีส่วนร่วม, การสนับสนุน"
"攻撃(こうげき)","การโจมตี, การวิจารณ์"
"広告(こうこく)","การโฆษณา, ประกาศ"
"交際(こうさい)","การคบหา, ความสัมพันธ์"
"後者(こうしゃ)","สิ่งหลัง, ผู้สืบทอด"
"工場(こうじょう)","โรงงาน"
"構成(こうせい)","โครงสร้าง, การประกอบ"
"高速(こうそく)","ความเร็วสูง; ทางด่วน"
"行動(こうどう)","การกระทำ, พฤติกรรม"
"幸福(こうふく)","ความสุข, ความเป็นสุข"
"公平(こうへい)","ความยุติธรรม, ความเป็นกลาง"
"候補(こうほ)","ผู้สมัคร, ตัวเลือก"
"考慮(こうりょ)","การพิจารณา, การคำนึงถึง"
"越える(こえる)","ข้าม, ผ่าน; เกิน"
"氷(こおり)","น้ำแข็ง"
"凍る(こおる)","แข็งตัว, กลายเป็นน้ำแข็ง"
"呼吸(こきゅう)","การหายใจ; เคล็ดลับ"
"故郷(こきょう)","บ้านเกิด, ภูมิลำเนา"
"国語(こくご)","ภาษาประจำชาติ; ภาษาญี่ปุ่น"
"黒板(こくばん)","กระดานดำ"
"克服(こくふく)","การเอาชนะ, การเอาชนะอุปสรรค"
"国民(こくみん)","ประชาชน, พลเมือง"
"穀物(こくもつ)","ธัญพืช"
"此処(ここ)","ที่นี่, ที่แห่งนี้"
"腰(こし)","เอว, สะโพก; ตัวหนังสือ"
"故障(こしょう)","ข้อขัดข้อง, การเสีย"
"個人(こじん)","บุคคล, ส่วนตัว"
"越す(こす)","ข้าม, ผ่าน; ย้าย"
"国家(こっか)","รัฐ, ประเทศ"
"国会(こっかい)","รัฐสภาแห่งชาติ"
"国境(こっきょう)","พรมแดน, เขตแดนประเทศ"
"骨折(こっせつ)","กระดูกหัก"
"小包(こづつみ)","พัสดุ, ห่อ"
"事(こと)","สิ่งของ, เรื่อง"
"異なる(ことなる)","แตกต่าง, ไม่เหมือน"
"諺(ことわざ)","สุภาษิต, คำพังเพย"
"断る(ことわる)","ปฏิเสธ, ไม่ยอมรับ; แจ้ง"
"粉(こな)","แป้ง, ผง"
"此の(この)","นี้, สิ่งนี้"
"好み(このみ)","ความชอบ, รสนิยม"
"好む(このむ)","ชอบ, นิยม"
"コピー","สำเนา, ถ่ายเอกสาร"
"小麦(こむぎ)","ข้าวสาลี"
"小屋(こや)","กระท่อม, กระต๊อบ"
"これ等(これら)","เหล่านี้, พวกนี้"
"頃(ころ)","ประมาณ, ช่วงเวลา; ฤดูกาล"
"殺す(ころす)","ฆ่า, สังหาร"
"転ぶ(ころぶ)","ล้ม, หกล้ม"
"今回(こんかい)","ครั้งนี้"
"今後(こんご)","ต่อจากนี้, ในอนาคต"
"混雑(こんざつ)","ความแออัด, ความสับสนวุ่นวาย"
"こんなに","เช่นนี้, ขนาดนี้"
"困難(こんなん)","ความยากลำบาก, ปัญหา"
"今日は(こんにちは)","สวัสดี (ตอนกลางวัน)"
"コンピュータ","คอมพิวเตอร์"
"婚約(こんやく)","การหมั้น, การหมั้นหมาย"
"混乱(こんらん)","ความวุ่นวาย, ความสับสน"
"コーチ","โค้ช"
"コード","รหัส, กฎ"
"後(ご)","หลัง"
"語(ご)","คำ, ภาษา"
"豪華(ごうか)","หรูหรา, ฟุ่มเฟือย"
"合格(ごうかく)","ผ่าน (การสอบ), สอบได้"
"合計(ごうけい)","ผลรวม, ยอดรวม"
"強盗(ごうとう)","โจรปล้น, ผู้ปล้น"
"誤解(ごかい)","ความเข้าใจผิด"
"語学(ごがく)","การเรียนภาษา"
"極(ごく)","มาก, ยิ่งนัก"
"塵(ゴミ)","ขยะ, ของเสีย"
"御免なさい(ごめんなさい)","ขอโทษ"
"ゴール","ประตู, เส้นชัย; เป้าหมาย"
"差(さ)","ความแตกต่าง"
"際(さい)","โอกาส, เวลา"
"最高(さいこう)","ดีที่สุด, สูงสุด"
"最終(さいしゅう)","สุดท้าย, ปิดท้าย"
"最中(さいちゅう)","กลาง, ท่ามกลาง"
"最低(さいてい)","ต่ำสุด, แย่ที่สุด"
"才能(さいのう)","พรสวรรค์, ความสามารถ"
"裁判(さいばん)","การพิจารณาคดี, การพิพากษา"
"幸い(さいわい)","โชคดี, ดีใจที่"
"サイン","ลายเซ็น, สัญญาณ"
"境(さかい)","พรมแดน, ขอบเขต; จุดเปลี่ยน"
"魚(さかな)","ปลา"
"逆らう(さからう)","ขัดขืน, ต่อต้าน"
"盛り(さかり)","ช่วงพีค, ช่วงเต็มที่"
"作業(さぎょう)","งาน, การทำงาน"
"昨(さく)","ปีที่แล้ว, เมื่อวาน"
"作品(さくひん)","ผลงาน, งานสร้างสรรค์"
"作物(さくもつ)","ผลิตผล, พืชผล"
"桜(さくら)","ดอกซากุระ"
"酒(さけ)","สุรา, เหล้า"
"叫ぶ(さけぶ)","ตะโกน, ร้องไห้"
"避ける(さける)","หลีกเลี่ยง, เบี่ยงเบน"
"支える(ささえる)","ค้ำจุน, สนับสนุน"
"指す(さす)","ชี้, บ่งชี้"
"誘う(さそう)","เชิญชวน; ล่อใจ"
"作家(さっか)","นักเขียน, นักประพันธ์"
"作曲(さっきょく)","การแต่งเพลง"
"さっぱり","สดชื่น; เรียบง่าย; ไม่เลย"
"札(さつ)","ธนบัตร"
"偖(さて)","ทีนี้, งั้น"
"砂漠(さばく)","ทะเลทราย"
"差別(さべつ)","การแบ่งแยก, การเลือกปฏิบัติ"
"作法(さほう)","มารยาท, วิธีการ"
"様々(さまざま)","หลากหลาย, ต่างๆ"
"覚ます(さます)","ปลุก, ทำให้ตื่น"
"覚める(さめる)","ตื่น, หาย (เมา)"
"左右(さゆう)","ซ้ายและขวา; การควบคุม"
"皿(さら)","จาน, ถาด"
"更に(さらに)","นอกจากนี้, ยิ่งไปกว่านั้น"
"猿(さる)","ลิง"
"去る(さる)","จากไป, ผ่านไป"
"騒ぎ(さわぎ)","ความวุ่นวาย, เรื่องอื้อฉาว"
"参加(さんか)","การมีส่วนร่วม, การเข้าร่วม"
"参考(さんこう)","การอ้างอิง, การศึกษาเพิ่มเติม"
"賛成(さんせい)","การเห็นด้วย, การสนับสนุน"
"酸素(さんそ)","ออกซิเจน"
"散歩(さんぽ)","การเดิน, การเดินเล่น"
"サービス","บริการ; ส่วนลด"
"財産(ざいさん)","ทรัพย์สิน, ความมั่งคั่ง"
"材料(ざいりょう)","วัสดุ, ส่วนผสม"
"座席(ざせき)","ที่นั่ง"
"ざっと","โดยประมาณ, คร่าว ๆ"
"詩(し)","บทกวี, โคลง"
"四(し)","สี่, 4"
"氏(し)","นาย, นาง; ตระกูล"
"幸せ(しあわせ)","ความสุข, โชคดี"
"然も(しかも)","ยิ่งกว่านั้น, อย่างไรก็ตาม"
"叱る(しかる)","ดุ, ตำหนิ"
"式(しき)","รูปแบบ, พิธีกรรม"
"支給(しきゅう)","การจัดสรร, การจ่าย"
"頻りに(しきりに)","บ่อยครั้ง, ซ้ำแล้วซ้ำเล่า"
"刺激(しげき)","การกระตุ้น, การยั่วยุ"
"資源(しげん)","ทรัพยากร"
"支出(ししゅつ)","การจ่ายเงิน, ค่าใช้จ่าย"
"詩人(しじん)","กวี, นักกวี"
"沈む(しずむ)","จม, ตกต่ำ; หดหู่"
"自然(しぜん)","ธรรมชาติ; ตามธรรมชาติ"
"思想(しそう)","ความคิด, อุดมการณ์"
"舌(した)","ลิ้น"
"従う(したがう)","เชื่อฟัง, ปฏิบัติตาม"
"従って(したがって)","ดังนั้น, ด้วยเหตุนี้"
"支度(したく)","การเตรียมตัว, การจัดเตรียม"
"親しい(したしい)","สนิทสนม, คุ้นเคย"
"次第(しだい)","ขึ้นอยู่กับ; ทันที; ลำดับ"
"七(しち)","เจ็ด"
"質(しつ)","คุณภาพ, ลักษณะ"
"失業(しつぎょう)","การว่างงาน"
"失望(しつぼう)","ความผิดหวัง, ความสิ้นหวัง"
"支店(してん)","สาขา, สำนักงานสาขา"
"指導(しどう)","การแนะนำ, การนำทาง"
"品(しな)","สินค้า, คุณภาพ"
"支配(しはい)","การควบคุม, การครอบงำ"
"支払い(しはらい)","การชำระเงิน"
"支払う(しはらう)","ชำระเงิน, จ่ายเงิน"
"芝居(しばい)","ละคร, การแสดง"
"屡々(しばしば)","บ่อยครั้ง, ซ้ำหลายครั้ง"
"芝生(しばふ)","หญ้า, สนามหญ้า"
"資本(しほん)","ทุน, เงินทุน"
"死亡(しぼう)","ความตาย, การเสียชีวิต"
"姉妹(しまい)","พี่สาวน้องสาว"
"仕舞う(しまう)","เก็บ, เสร็จสิ้น; เก็บรักษา"
"仕舞った(しまった)","แย่แล้ว!, โอ้ไม่นะ!"
"示す(しめす)","แสดง, ชี้ให้เห็น"
"占める(しめる)","ครอบครอง; คิดเป็น"
"霜(しも)","น้ำค้างแข็ง"
"下(しも)","ส่วนล่าง"
"借金(しゃっきん)","หนี้สิน"
"喋る(しゃべる)","พูด, คุย"
"州(しゅう)","รัฐ, มณฑล"
"週(しゅう)","สัปดาห์"
"周囲(しゅうい)","บริเวณโดยรอบ, รอบนอก"
"収穫(しゅうかく)","การเก็บเกี่ยว, ผลผลิต"
"週間(しゅうかん)","สัปดาห์"
"宗教(しゅうきょう)","ศาสนา"
"就職(しゅうしょく)","การหางาน, การได้งาน"
"修正(しゅうせい)","การแก้ไข, การปรับปรุง"
"集団(しゅうだん)","กลุ่ม, หมู่"
"集中(しゅうちゅう)","การมุ่งความสนใจ; การรวมตัว"
"収入(しゅうにゅう)","รายได้, รายรับ"
"修理(しゅうり)","การซ่อมแซม"
"主義(しゅぎ)","หลักการ, ลัทธิ"
"宿泊(しゅくはく)","การพักแรม, ที่พัก"
"首相(しゅしょう)","นายกรัฐมนตรี"
"手術(しゅじゅつ)","การผ่าตัด"
"手段(しゅだん)","วิธีการ, หนทาง"
"主張(しゅちょう)","การอ้างสิทธิ์, การยืนยัน"
"出身(しゅっしん)","ถิ่นกำเนิด, บ้านเกิด"
"出席(しゅっせき)","การเข้าร่วม, การปรากฏตัว"
"出発(しゅっぱつ)","การออกเดินทาง"
"出版(しゅっぱん)","การตีพิมพ์"
"首都(しゅと)","เมืองหลวง"
"主婦(しゅふ)","แม่บ้าน"
"主要(しゅよう)","หลัก, สำคัญ"
"種類(しゅるい)","ชนิด, ประเภท"
"瞬間(しゅんかん)","ชั่วขณะ, พริบตา"
"賞(しょう)","รางวัล, ใบประกาศเกียรติคุณ"
"章(しょう)","บท, ส่วน"
"小(しょう)","เล็ก, เล็กน้อย"
"障害(しょうがい)","อุปสรรค, ความพิการ"
"奨学金(しょうがくきん)","ทุนการศึกษา"
"正午(しょうご)","เที่ยงวัน"
"少々(しょうしょう)","นิดหน่อย, เล็กน้อย"
"正直(しょうじき)","ซื่อสัตย์, ตรงไปตรงมา"
"少女(しょうじょ)","เด็กผู้หญิง"
"症状(しょうじょう)","อาการ, อาการป่วย"
"生じる(しょうじる)","เกิดขึ้น, ก่อให้เกิด"
"招待(しょうたい)","การเชิญ, คำเชิญ"
"承知(しょうち)","ความรู้, การยินยอม"
"衝突(しょうとつ)","การชน, การปะทะ; การขัดแย้ง"
"商人(しょうにん)","พ่อค้า, ผู้ค้า"
"承認(しょうにん)","การยอมรับ, การอนุมัติ"
"少年(しょうねん)","เด็กผู้ชาย, เด็กชาย"
"商売(しょうばい)","การค้า, ธุรกิจ"
"消費(しょうひ)","การบริโภค, การใช้จ่าย"
"商品(しょうひん)","สินค้า, ผลิตภัณฑ์"
"消防(しょうぼう)","การดับเพลิง"
"証明(しょうめい)","การพิสูจน์, หลักฐาน"
"職(しょく)","งาน, อาชีพ"
"職業(しょくぎょう)","อาชีพ, วิชาชีพ"
"食事(しょくじ)","มื้ออาหาร, อาหาร"
"食卓(しょくたく)","โต๊ะอาหาร"
"食品(しょくひん)","อาหาร, ผลิตภัณฑ์อาหาร"
"植物(しょくぶつ)","พืช, ต้นไม้"
"食物(しょくもつ)","อาหาร"
"食欲(しょくよく)","ความอยากอาหาร"
"食糧(しょくりょう)","อาหาร (โดยเฉพาะธัญพืช)"
"食料(しょくりょう)","อาหาร"
"書斎(しょさい)","ห้องทำงาน, ห้องอ่านหนังสือ"
"署名(しょめい)","ลายเซ็น"
"書物(しょもつ)","หนังสือ"
"処理(しょり)","การประมวลผล, การจัดการ"
"書類(しょるい)","เอกสาร, เอกสารราชการ"
"使用(しよう)","การใช้งาน, การนำไปใช้"
"知らせ(しらせ)","ข่าว, การแจ้งเตือน"
"尻(しり)","ก้น, ส่วนล่าง"
"印(しるし)","เครื่องหมาย, สัญลักษณ์"
"城(しろ)","ปราสาท"
"進学(しんがく)","การเข้าเรียนในระดับสูงขึ้น"
"神経(しんけい)","เส้นประสาท; ความไวต่อความรู้สึก"
"真剣(しんけん)","จริงจัง, เอาจริงเอาจัง"
"信仰(しんこう)","ความเชื่อทางศาสนา"
"深刻(しんこく)","ร้ายแรง, รุนแรง"
"信号(しんごう)","สัญญาณไฟจราจร"
"診察(しんさつ)","การตรวจร่างกาย, การตรวจโรค"
"信じる(しんじる)","เชื่อ, ไว้วางใจ"
"親戚(しんせき)","ญาติ, คนในตระกูล"
"新鮮(しんせん)","สด, ใหม่"
"心臓(しんぞう)","หัวใจ; กล้าหาญ"
"身体(しんたい)","ร่างกาย, ตัวตน"
"身長(しんちょう)","ส่วนสูง"
"慎重(しんちょう)","รอบคอบ, ระมัดระวัง"
"心配(しんぱい)","ความกังวล, ความเป็นห่วง"
"審判(しんぱん)","การตัดสิน; กรรมการ"
"進歩(しんぽ)","ความก้าวหน้า, พัฒนาการ"
"親友(しんゆう)","เพื่อนสนิท"
"信用(しんよう)","ความเชื่อมั่น, ความไว้วางใจ"
"信頼(しんらい)","ความไว้วางใจ, ความเชื่อใจ"
"心理(しんり)","จิตใจ, จิตวิทยา"
"ジェット機(ジェットき)","เครื่องบินเจ็ต"
"直に(じかに)","โดยตรง, ต่อหน้า"
"直(じき)","เร็วๆ นี้, ใกล้ๆ; โดยตรง"
"時期(じき)","ช่วงเวลา, ระยะ, ฤดูกาล"
"事件(じけん)","เหตุการณ์, คดี, กรณี"
"時刻(じこく)","เวลา, ชั่วโมง"
"自殺(じさつ)","การฆ่าตัวตาย"
"自身(じしん)","ตัวเอง"
"事実(じじつ)","ความจริง, ข้อเท็จจริง"
"事情(じじょう)","สถานการณ์, เหตุผล"
"事態(じたい)","สภาพการณ์, สถานการณ์"
"実験(じっけん)","การทดลอง"
"実行(じっこう)","การดำเนินการ, การปฏิบัติ"
"実際(じっさい)","ความเป็นจริง, ในทางปฏิบัติ"
"実施(じっし)","การบังคับใช้, การนำไปปฏิบัติ"
"凝乎と(じっと)","นิ่งเฉย; จ้องมอง"
"実現(じつげん)","การทำให้เป็นจริง, การบรรลุ"
"実に(じつに)","จริงๆ, แท้จริง"
"実は(じつは)","ที่จริงแล้ว, พูดตรงๆ"
"自動(じどう)","อัตโนมัติ"
"自慢(じまん)","ความภูมิใจ, การอวดอ้าง"
"事務(じむ)","งานสำนักงาน, งานธุรการ"
"じゃあ","งั้น, ทีนั้น"
"邪魔(じゃま)","สิ่งกีดขวาง, ความรบกวน"
"銃(じゅう)","ปืน"
"十(じゅう)","สิบ, 10"
"重視(じゅうし)","การให้ความสำคัญ"
"渋滞(じゅうたい)","การจราจรติดขัด"
"住宅(じゅうたく)","ที่อยู่อาศัย, บ้าน"
"重大(じゅうだい)","ร้ายแรง, สำคัญ"
"住民(じゅうみん)","ผู้อยู่อาศัย, ประชาชน"
"重要(じゅうよう)","สำคัญ, จำเป็น"
"需要(じゅよう)","ความต้องการ, อุปสงค์"
"順(じゅん)","ลำดับ, คิว; เชื่อฟัง"
"順調(じゅんちょう)","ราบรื่น, เป็นไปด้วยดี"
"順番(じゅんばん)","ลำดับ, คิว"
"準備(じゅんび)","การเตรียมพร้อม"
"ジュース","น้ำผลไม้, เครื่องดื่ม"
"上(じょう)","จาก (มุมมอง); บน; ดีที่สุด"
"乗客(じょうきゃく)","ผู้โดยสาร"
"上京(じょうきょう)","การขึ้นไปยังกรุงโตเกียว"
"状況(じょうきょう)","สถานการณ์, สภาพ"
"条件(じょうけん)","เงื่อนไข, ข้อกำหนด"
"常識(じょうしき)","สามัญสำนึก, มารยาท"
"状態(じょうたい)","สภาพ, สถานะ"
"上達(じょうたつ)","ความก้าวหน้า (ในทักษะ)"
"冗談(じょうだん)","มุกตลก, การล้อเล่น"
"上等(じょうとう)","ชั้นหนึ่ง, ชั้นดี"
"情報(じょうほう)","ข้อมูล, ข่าวสาร"
"女王(じょおう)","ราชินี"
"女子(じょし)","ผู้หญิง, สาว"
"助手(じょしゅ)","ผู้ช่วย"
"徐々(じょじょ)","ค่อยๆ, ทีละน้อย"
"女優(じょゆう)","นักแสดงหญิง"
"人工(じんこう)","ประดิษฐ์, เทียม"
"人種(じんしゅ)","เชื้อชาติ"
"人生(じんせい)","ชีวิต"
"人物(じんぶつ)","บุคคล, ตัวละคร"
"人類(じんるい)","มนุษยชาติ"
"ジーンズ","ยีนส์"
"巣(す)","รัง, ถ้ำ"
"水準(すいじゅん)","มาตรฐาน, ระดับ"
"推薦(すいせん)","การแนะนำ, การรับรอง"
"スイッチ","สวิตช์"
"睡眠(すいみん)","การนอนหลับ"
"数(すう)","หลาย, บางส่วน; ตัวเลข"
"数字(すうじ)","ตัวเลข, เลข"
"末(すえ)","ปลาย, ท้าย; ลูกหลาน"
"姿(すがた)","รูปร่าง, ลักษณะ, การแต่งกาย"
"スキー","สกี"
"空く(すく)","โล่ง, ว่าง; หิว"
"救う(すくう)","ช่วยเหลือ, กู้ภัย"
"優れる(すぐれる)","เหนือกว่า, ดีกว่า"
"スケート","การเล่นสเกต"
"少しも(すこしも)","ไม่เลย, ไม่แม้แต่นิดเดียว"
"凄い(すごい)","น่ากลัว, น่าทึ่ง; มาก"
"過ごす(すごす)","ใช้เวลา, ใช้ชีวิต"
"筋(すじ)","เส้นกล้ามเนื้อ; เรื่องราว"
"進める(すすめる)","ก้าวหน้า, เดินหน้า"
"勧める(すすめる)","แนะนำ, แนะ"
"スタイル","รูปร่าง, สไตล์"
"スタンド","อัฒจันทร์; แผงลอย; โคมไฟ"
"スター","ดารา, นักแสดงชื่อดัง"
"素敵(すてき)","สวย, ยอดเยี่ยม"
"既に(すでに)","แล้ว, ก่อนหน้านี้"
"即ち(すなわち)","นั่นคือ, กล่าวคือ"
"素晴らしい(すばらしい)","ยอดเยี่ยม, วิเศษ"
"スピーチ","สุนทรพจน์"
"全て(すべて)","ทุกอย่าง, ทั้งหมด"
"済ませる(すませる)","เสร็จสิ้น, ทำให้จบ"
"隅(すみ)","มุม"
"為る(する)","ทำ, ดำเนินการ"
"すると","จากนั้น, แล้วก็"
"鋭い(するどい)","คม, แหลม; เฉียบแหลม"
"スープ","ซุป"
"図(ず)","ภาพวาด; ทัศนียภาพ"
"随分(ずいぶん)","มาก, ค่อนข้าง"
"ずっと","ตลอด, ตลอดเวลา; มากกว่า"
"頭痛(ずつう)","ปวดหัว"
"所為(せい)","ผลลัพธ์; ความผิด"
"背(せい)","ส่วนสูง"
"生(せい)","ชีวิต; นักศึกษา"
"性(せい)","ลักษณะ, เพศ"
"正(せい)","ถูกต้อง, บวก"
"正確(せいかく)","แม่นยำ, ถูกต้อง"
"性格(せいかく)","ลักษณะนิสัย, บุคลิกภาพ"
"世紀(せいき)","ศตวรรษ"
"請求(せいきゅう)","การเรียกร้อง, การชำระค่าใช้จ่าย"
"清潔(せいけつ)","สะอาด, สุขอนามัย"
"制限(せいげん)","การจำกัด, ข้อจำกัด"
"成功(せいこう)","ความสำเร็จ, การประสบผลสำเร็จ"
"生産(せいさん)","การผลิต, การสร้าง"
"正式(せいしき)","เป็นทางการ, ถูกกฎ"
"精神(せいしん)","จิตใจ, วิญญาณ"
"成人(せいじん)","ผู้ใหญ่; การเติบโตเป็นผู้ใหญ่"
"成績(せいせき)","ผลการเรียน, คะแนน"
"精々(せいぜい)","อย่างมาก, เต็มที่"
"製造(せいぞう)","การผลิต, การประดิษฐ์"
"成長(せいちょう)","การเติบโต, การพัฒนา"
"制度(せいど)","ระบบ, สถาบัน"
"青年(せいねん)","เยาวชน, คนหนุ่ม"
"製品(せいひん)","ผลิตภัณฑ์, สินค้า"
"政府(せいふ)","รัฐบาล"
"生物(せいぶつ)","สิ่งมีชีวิต; ชีววิทยา"
"生命(せいめい)","ชีวิต, การมีชีวิต"
"整理(せいり)","การจัดระเบียบ, การจัดการ"
"咳(せき)","การไอ"
"石炭(せきたん)","ถ่านหิน"
"責任(せきにん)","หน้าที่, ความรับผิดชอบ"
"石油(せきゆ)","น้ำมัน, น้ำมันเชื้อเพลิง"
"世間(せけん)","สังคม, โลก"
"積極的(せっきょくてき)","เชิงบวก, กระตือรือร้น"
"設計(せっけい)","แผน, การออกแบบ"
"セット","เซ็ต, ชุด"
"説(せつ)","ทฤษฎี, ความเห็น"
"設備(せつび)","อุปกรณ์, สิ่งอำนวยความสะดวก"
"節約(せつやく)","การประหยัด, การออม"
"責める(せめる)","ตำหนิ, ตัดสิน"
"世話(せわ)","การดูแล, การช่วยเหลือ"
"専攻(せんこう)","วิชาเอก, การศึกษาเฉพาะทาง"
"選手(せんしゅ)","นักกีฬา, ผู้เล่น"
"先日(せんじつ)","เมื่อไม่กี่วันก่อน"
"選択(せんたく)","การเลือก, ตัวเลือก"
"センター","ศูนย์กลาง"
"税(ぜい)","ภาษี"
"税金(ぜいきん)","ภาษี"
"贅沢(ぜいたく)","ความฟุ่มเฟือย, ความหรูหรา"
"絶対(ぜったい)","แน่นอน, ไม่มีเงื่อนไข"
"絶滅(ぜつめつ)","การสูญพันธุ์, การกำจัด"
"是非(ぜひ)","อย่างแน่นอน; ถูกและผิด"
"全(ぜん)","ทั้งหมด, ครบถ้วน"
"善(ぜん)","ความดี, คุณธรรม"
"全員(ぜんいん)","สมาชิกทั้งหมด"
"全国(ぜんこく)","ทั้งประเทศ"
"前者(ぜんしゃ)","สิ่งแรก, อดีต"
"前進(ぜんしん)","การก้าวหน้า, การเคลื่อนไปข้างหน้า"
"全然(ぜんぜん)","ไม่เลย; โดยสิ้นเชิง"
"全体(ぜんたい)","ส่วนรวม, ทั้งหมด"
"宋(そう)","ราชวงศ์ซ่ง"
"騒音(そうおん)","เสียงรบกวน"
"操作(そうさ)","การดำเนินการ, การจัดการ"
"掃除(そうじ)","การทำความสะอาด"
"想像(そうぞう)","จินตนาการ, การคาดเดา"
"相続(そうぞく)","การสืบทอด, มรดก"
"相談(そうだん)","การปรึกษาหารือ"
"装置(そうち)","อุปกรณ์, เครื่องมือ"
"相当(そうとう)","เหมาะสม, พอสมควร; ค่อนข้าง"
"速度(そくど)","ความเร็ว"
"底(そこ)","ก้น, ส่วนล่าง"
"其処で(そこで)","ดังนั้น, ด้วยเหตุนั้น"
"組織(そしき)","องค์กร, โครงสร้าง; เนื้อเยื่อ"
"而して(そして)","และ, จากนั้น"
"注ぐ(そそぐ)","เท, ราด; อุทิศ"
"育つ(そだつ)","เติบโต, ถูกเลี้ยงดู"
"そっくり","เหมือนกันทั้งหมด; เหมือนกัน"
"率土(そっと)","แอบๆ, เงียบๆ"
"袖(そで)","แขนเสื้อ"
"備える(そなえる)","เตรียมพร้อม, จัดเตรียม"
"其の(その)","นั้น, สิ่งนั้น"
"その内(そのうち)","เร็วๆ นี้, ในไม่ช้า"
"其のまま(そのまま)","เหมือนเดิม, ตามนั้น"
"側(そば)","ใกล้, ข้างๆ"
"ソファ","โซฟา"
"粗末(そまつ)","หยาบ, ต่ำต้อย, ถูก"
"其れ(それ)","นั้น, สิ่งนั้น"
"其れ其れ(それぞれ)","แต่ละ, ตามลำดับ"
"其れでも(それでも)","อย่างไรก็ตาม, ถึงกระนั้น"
"其れと(それと)","และ, นอกจากนั้น"
"其れとも(それとも)","หรือ, หรือไม่"
"損(そん)","การสูญเสีย, ความเสียหาย; ไม่คุ้ม"
"損害(そんがい)","ความเสียหาย, การสูญเสีย"
"尊敬(そんけい)","ความเคารพ, ความนับถือ"
"存在(そんざい)","การมีอยู่, การดำรงอยู่"
"尊重(そんちょう)","ความเคารพ, การให้เกียรติ"
"象(ぞう)","ช้าง"
"増加(ぞうか)","การเพิ่มขึ้น, การขยายตัว"
"田(た)","นาข้าว"
"他(た)","อื่น, คนอื่น"
"対(たい)","กับ, ต่อ; เท่ากัน"
"体育(たいいく)","พลศึกษา"
"体温(たいおん)","อุณหภูมิร่างกาย"
"大会(たいかい)","การชุมนุม, การแข่งขัน"
"大気(たいき)","บรรยากาศ; ความใจกว้าง"
"退屈(たいくつ)","น่าเบื่อ, น่าหงุดหงิด"
"滞在(たいざい)","การพักอยู่, การพำนัก"
"大使(たいし)","ทูต"
"大した(たいした)","สำคัญมาก, ยิ่งใหญ่"
"対象(たいしょう)","เป้าหมาย, วัตถุประสงค์"
"対する(たいする)","หันหน้าไปทาง; เกี่ยวกับ"
"大戦(たいせん)","สงครามโลก, สงครามใหญ่"
"大抵(たいてい)","ส่วนใหญ่, โดยทั่วไป"
"態度(たいど)","ท่าทาง, ทัศนคติ"
"大半(たいはん)","ส่วนใหญ่, เกินครึ่ง"
"タイプライター","เครื่องพิมพ์ดีด"
"大変(たいへん)","มาก, รุนแรง; ยากลำบาก"
"逮捕(たいほ)","การจับกุม"
"太陽(たいよう)","ดวงอาทิตย์"
"平ら(たいら)","ราบเรียบ, เรียบ; สงบ"
"大陸(たいりく)","ทวีป"
