"会う","あう","to meet, to encounter, to see; to have an accident, to have a bad experience"
"","さあ, さー, さぁ","come (on), come now, come along, here; all right, right, okay, now, here goes; well, hmm, uh, let's see, I'm not sure; here, now, there (we go), ah, oh; about that, ..., actually, ..."
"財布","さいふ","wallet, purse, coin purse, billfold, pocketbook"
"魚","さかな, うお","fish"
"先","さき","point, tip, end, nozzle; head (of a line), front; first, before, ahead (of); (the way) ahead, beyond; future; previous, prior, former, recent, last; destination, address, place where you do something; rest (e.g. of a story), continuation, remaining part; the other party"
"咲く","さく","to bloom, to flower, to blossom, to open; to rise up (of breaking waves)"
"作文","さくぶん","writing (an essay, prose, etc.), composition; formal writing with little real meaning"
"差す","さす","to shine; to be visible; to be tinged with; to rise (of water levels), to flow in; to be felt (i.e. as an emotion), to come over one; to hold up (an umbrella, etc.), to put up, to raise; to extend one's arm straight ahead (in dance); to insert, to put in; to wear (a sword) in one's belt, to wear at one's side, to carry under one's arm; to insert one's arm under an opponent's arm; to pole (a boat); to pour, to add (liquid), to serve (drinks); to put on (lipstick, etc.), to apply, to colour, to dye; to light (a fire), to burn; to shut, to close, to lock, to fasten; to stop in the midst of, to leave undone"
"砂糖","さとう","sugar"
"寒い","さむい, さぶい","cold (e.g. weather); uninteresting (esp. joke), lame, dull, weak, corny"
"再来年","さらいねん","year after next"
"三","さん, み","three, 3"
"散歩","さんぽ","walk, stroll"
"雑誌","ざっし","magazine, journal, periodical"
"四","し, よん, よ","four, 4"
"塩","しお","salt, common salt, table salt, sodium chloride; hardship, toil, trouble; saltiness; cold, unwelcoming, indifferent"
"然し","しかし, しっかし","however, but"
"仕事","しごと","work, job, labor, labour, business, task, assignment, occupation, employment; work"
"静か","しずか","quiet, silent; slow, unhurried; calm, peaceful"
"下","した","below, down, under, younger (e.g. daughter); bottom; beneath, underneath; just after, right after; inferiority, one's inferior (i.e. one's junior); trade-in; preliminary, preparatory"
"七","しち, なな, ひち, な","seven"
"質問","しつもん","question, inquiry, enquiry"
"死ぬ","しぬ, ﾀﾋぬ","to die, to pass away; to lose spirit, to lose vigor, to look dead; to cease, to stop"
"閉まる","しまる","to be shut, to close, to be closed; to be firm (of a body, face, etc.), to be well-knit; to be locked; to tighten, to be tightened; to become sober, to become tense"
"閉める","しめる","to close, to shut"
"締める","しめる, シメる","to tie, to fasten, to tighten; to wear (necktie, belt), to put on; to total, to sum; to be strict with; to economize, to economise, to cut down on; to salt, to marinate, to pickle, to make sushi adding a mixture of vinegar and salt; to kill (fish, poultry, etc.); to strongly press (someone), to crack down on, to keep under strict control"
"写真","しゃしん","photograph, photo, picture, photography; moving picture, movie"
"","シャツ","shirt (undergarment), undershirt, singlet; shirt (outerwear; usu. with collar and buttons)"
"","シャワー","shower"
"宿題","しゅくだい","homework, assignment; pending issue, unresolved problem, open question"
"醤油","しょうゆ, しょうゆう","soy sauce, soya sauce, shoyu"
"食堂","しょくどう","dining room, dining hall, cafeteria, canteen, messroom; restaurant, eatery, snack bar, diner"
"知る","しる","to know, to be aware (of), to be conscious (of), to learn (of), to find out, to discover; to sense, to feel, to notice, to realize; to understand, to comprehend, to grasp, to appreciate; to remember, to be familiar with, to be acquainted with; to experience, to go through, to know (e.g. hardship); to get acquainted with (a person), to get to know; to have to do with, to be concerned with, to be one's concern, to be one's responsibility"
"白","しろ","white; innocence, innocent person; blank space; white stone; white dragon tile; skewered grilled pig intestine"
"白い","しろい","white"
"新聞","しんぶん","newspaper"
"時間","じかん","time; hour; period, class, lesson"
"辞書","じしょ","dictionary, lexicon; letter of resignation"
"自転車","じてんしゃ, じでんしゃ","bicycle, bike"
"自動車","じどうしゃ","car, automobile, motorcar, motor vehicle, auto"
"字引","じびき","dictionary"
"自分","じぶん","myself, yourself, oneself, himself, herself; I, me; you"
"","じゃあ, じゃ","then, well, so, well then"
"十","じゅう, とお, と","ten, 10; ten years of age; book containing a collection of poems"
"授業","じゅぎょう","lesson, class, teaching, instruction, classwork, schoolwork"
"上手","じょうず, じょうて, じょうしゅ","skillful, skilled, proficient, good (at), adept, clever; flattery"
"丈夫","じょうぶ","healthy, robust, strong, solid, durable"
"水曜日","すいようび","Wednesday"
"吸う","すう","to smoke, to breathe in, to inhale; to suck, to sip, to slurp; to absorb, to soak up; to kiss"
"","スカート","skirt"
"好き","すき","liking, being fond of, to one's liking, to one's taste, preferred, favourite; liking (romantically), being in love with, beloved; faddism, eccentricity; as one likes, as it suits one; lecherous, lustful, salacious"
"少ない","すくない","few, little, small (amount), low, scarce, insufficient, seldom, rare"
"直ぐに","すぐに","immediately, right away, at once, instantly"
"少し","すこし","a little, a bit, a small amount, a few, some, slightly, somewhat; a little while, a short time, a moment, a minute; a little way, a short distance"
"涼しい","すずしい","cool, refreshing; clear (e.g. eyes), bright; clear, distinct; composed (facial expression), unruffled, unconcerned; pure, upright, innocent"
"","ストーブ, ストーヴ","(room) heater, stove"
"","スプーン, スプン","spoon"
"","スポーツ","sport, sports"
"住む","すむ","to live (of humans), to reside, to inhabit, to dwell, to abide"
"","スリッパ, スリッパー","slipper, slippers"
"為る","する","to do, to carry out, to perform; to cause to become, to make (into), to turn (into); to serve as, to act as, to work as; to wear (clothes, a facial expression, etc.); to judge as being, to view as being, to think of as, to treat as, to use as; to decide on, to choose; to be sensed (of a smell, noise, etc.); to be (in a state, condition, etc.); to be worth, to cost; to pass (of time), to elapse; to place, or raise, person A to a post or status B; to transform A to B, to make A into B, to exchange A for B; to make use of A for B, to view A as B, to handle A as if it were B; to feel A about B; verbalizing suffix (applies to nouns noted in this dictionary with the part of speech ""vs""); creates a humble verb (after a noun prefixed with ""o"" or ""go""); to be just about to, to be just starting to, to try to, to attempt to"
"座る","すわる","to sit (down), to have a seat, to be seated, to kneel (on the floor); to assume (a position), to take on (a duty), to occupy (a post); to hold steady, to hold still"
"洋袴","ズボン","trousers, pants"
"背","せ","back; reverse, rear side, back (e.g. of a chair), spine (of a book); height, stature; ridge (of a mountain)"
"生徒","せいと","pupil, student, schoolchild"
"節倹","せっけん","economy, thrift"
"背広","せびろ, セビロ","business suit"
"狭い","せまい","narrow, confined, small, cramped; limited, narrow-minded, confining"
"千","せん, ち","thousand, 1,000"
"先月","せんげつ","last month"
"先週","せんしゅう","last week, the week before"
"先生","せんせい","teacher, instructor, master; sensei, title or form of address for a teacher, master, doctor, lawyer, etc.; intimate or teasing form of address; one's elder"
"洗濯","せんたく, せんだく","washing, laundry; relaxation, rejuvenation, melting away (of worries, fatigue, etc.)"
"","セーター, スエーター, スウェーター","sweater, jumper"
"０","ゼロ","zero, 0, nought, nil; nothing, zilch"
"全部","ぜんぶ","all, entire, whole, altogether"
"然うして","そうして","and, like that"
"掃除","そうじ","cleaning, sweeping, dusting, scrubbing"
"其処","そこ","there (place relatively near listener); there (place just mentioned), that place; then (of some incident just spoken of), that (of point just raised); you"
"其方","そちら, そっち, そなた, そち","that way, that direction; there; that (one); you, your family, your company; that person"
"外","そと, と","outside, exterior; the open (air); other place, somewhere else, outside one's group (family, company, etc.)"
"其の","その, そん","that, the; part (as in ""part two""); um ..., er ..., uh ..."
"側","そば, そく, はた","near, close, beside, vicinity, proximity, besides, while; third person"
"祖父","そふ, じじ, じい, おおじ, おじ, そぶ","grandfather; old man; kyogen mask used for the role of an old man"
"空","そら","sky, the air, the heavens; weather; far-off place, distant place; state of mind, feeling; (from) memory, (by) heart; falsehood, lie; somehow, vaguely; fake"
"其れ","それ","that, it; then, that point (in time), that time; there; you"
"其れから","それから","and then, after that"
"其れでは","それでは","well, ..., right, ..., now, ...; so, then; that way (would mean ...), if that is the case, in that case; bye then"
"大使館","たいしかん","embassy"
"大切","たいせつ, たいせち","important, significant, serious, crucial; precious, valuable, dear, cherished, beloved; careful"
"大変","たいへん","very, greatly, terribly, awfully; immense, enormous, great; serious, grave, dreadful, terrible; difficult, hard, challenging; major incident, disaster"
"高い","たかい, たかーい, たっけー, たっかーい","high, tall; expensive, high-priced; high (level), above average (in degree, quality, etc.); loud; high-pitched, shrill"
"沢山","たくさん","a lot, lots, plenty, many, a large number, much, a great deal, a good deal; enough, sufficient; enough, too many, too much"
"","タクシー, タクシ, タキシ, タキシー, タクシィ, タクシイ, タキシイ","taxi"
"立つ","たつ","to stand (up), to rise, to get to one's feet, to stand on end (e.g. of hairs), to stick up; to stand (in a position; of a person, tree, building, etc.), to be situated (in, on); to be (in difficulties, the lead, etc.), to put oneself (in a position or situation), to take up (a position, post, etc.), to position oneself; to leave (to do something); to depart (on a journey, trip, etc.), to leave, to set off, to start; to get stuck (into; of an arrow, thorn etc.), to pierce; to develop (of a haze, waves, etc.), to form (of steam, bubbles, etc.), to appear (of a rainbow, clouds, etc.), to rise (of smoke, waves, etc.), to begin to blow (of a wind, breeze, etc.); to spread (of a rumour, reputation, etc.), to be become widely known; to stand (for election), to run; to take action, to act, to rise (up), to rouse oneself; to have an erection, to become erect (e.g. of nipples); to be established (of a policy, plan, objective, etc.), to be formed; to be valid (of an argument, logic, etc.), to hold up, to hold water, to stand up (e.g. of evidence), to be logical, to be reasonable; to be sustained (of a living, business, etc.), to be maintained, to survive, to be preserved (of one's reputation, honour, etc.), to be saved; to start (of a season), to begin; to be held (of a market); to shut (of a door, shoji, etc.), to be shut, to be closed; to be (the result of a division)"
"縦","たて, タテ","the vertical, height; front-to-back, length; north-to-south; vertical (relationship), hierarchy; (weaving) warp"
"建物","たてもの","building"
"楽しい","たのしい","enjoyable, fun, pleasant, happy, delightful"
"頼む","たのむ","to request, to beg, to ask; to call, to order, to reserve; to entrust to; to rely on; please, please do"
"煙草","タバコ, たばこ","tobacco, cigarette, cigar; tobacco plant (Nicotiana tabacum)"
"多分","たぶん","probably, likely, perhaps, maybe; a lot of, much, many, considerable, large (amount), generous"
"食べ物","たべもの","food"
"食べる","たべる","to eat; to live on (e.g. a salary), to live off, to subsist on"
"卵","たまご","eggs, egg, spawn, roe; (hen's) egg; a ... in the making, future (lawyer, doctor, etc.), budding ...; beginning, origin, infancy"
"誕生日","たんじょうび","birthday"
"大学","だいがく","university, college; former imperial university of Japan (established under the ritsuryō system for the training of government administrators); the Great Learning (one of the Four Books)"
"大丈夫","だいじょうぶ, だいじょぶ","safe, secure, sound, problem-free, without fear, all right, alright, OK, okay; certainly, surely, undoubtedly; no thanks, I'm good, that's alright; great man, fine figure of a man"
"大好き","だいすき","liking very much, loving (something or someone), adoring, being very fond of"
"台所","だいどころ, だいどこ","kitchen; financial situation, finances"
"出す","だす","to take out, to get out; to put out, to reveal, to show; to submit (e.g. thesis), to turn in; to publish, to make public; to send (e.g. letter); to produce (a sound), to start (fire); to serve (food); ... out (e.g. to jump out, to carry out); to begin ..., to start to ..., to burst into ..."
"誰","だれ, だあれ, だーれ","who"
"誰か","だれか","someone, somebody"
"段々","だんだん","gradually, by degrees, little by little, more and more, increasingly; steps, stairs, staircase, terrace"
"小さい","ちいさい","small, little, tiny; slight, below average (in degree, amount, etc.), minor, small; low (e.g. sound), soft (e.g. voice); unimportant, petty, insignificant, trifling, trivial; young, juvenile"
"小さな","ちいさな","small, little, tiny"
"近い","ちかい","near, close, short (distance); close (in time), soon; close (relationship), friendly, intimate; closely related; similar, almost the same, close to, nearly"
"近く","ちかく","near, neighbourhood, neighborhood, vicinity; nearly (e.g. ""it took nearly one year""), close to; shortly, soon"
"地下鉄","ちかてつ","subway, metro, underground (railway)"
"違う","ちがう","to differ (from), to be different, to be distinct, to be unlike, to vary, to disagree (with); to be wrong, to be incorrect, to be mistaken; to become abnormal, to go wrong; isn't it?, wasn't it?"
"地図","ちず","map, atlas, chart, plan"
"茶色","ちゃいろ","brown, light brown, tawny"
"茶碗","ちゃわん","rice bowl, tea cup, teacup"
"丁度","ちょうど","exactly, precisely, just, right, opportunely, fortunately; just (like), as if, as though"
"一寸","ちょっと, ちょと, チョット, ちょいと, チョッと","a little, a bit, slightly; just a minute, for a moment, briefly; somewhat, rather, fairly, pretty, quite; (not) easily, (not) readily; hey!, come on, excuse me; thanks, but no, not feasible, not possible"
"１日","ついたち","first day of the month"
"使う","つかう","to use (a tool, method, etc.), to make use of, to put to use; to use (a person, animal, puppet, etc.), to employ, to handle, to manage, to manipulate; to use (time, money, etc.), to spend, to consume; to use (language), to speak"
"疲れる","つかれる","to get tired, to tire, to get fatigued, to become exhausted, to grow weary; to become worn out (of a well-used object); to starve"
"次","つぎ","next, following, subsequent; stage, station"
"着く","つく","to arrive at, to reach; to sit on, to sit at (e.g. the table)"
"机","つくえ, つき","desk"
"作る","つくる","to make, to produce, to manufacture, to build, to construct; to prepare (food), to brew (alcohol); to raise, to grow, to cultivate, to train; to till; to draw up (a document), to make out, to prepare, to write; to create (an artistic work, etc.), to compose; to coin (a phrase), to organize, to organise, to establish, to found; to have (a child); to make up (one's face, etc.); to fabricate (an excuse, etc.); to give a (false) appearance, to feign (a smile, etc.), to put on a show of emotion; to form (a line, etc.); to set (a record); to commit (a sin, etc.)"
"付ける","つける","to attach, to join, to connect, to add, to append, to affix, to stick, to glue, to fasten, to sew on, to apply (ointment), to put against; to furnish (a house with); to wear, to put on; to keep a diary, to make an entry; to appraise, to set (a price); to allot, to budget, to assign; to bring alongside; to place (under guard or doctor); to follow (someone), to shadow, to tail, to stalk; to load, to give (courage to); to keep (an eye on); to establish (relations or understanding); to turn on (a light); to produce flowers (of a plant), to produce fruit; to do intensely, to do fiercely, to do strongly; to be used to (doing), to be accustomed to"
"勤める","つとめる","to work (for), to be employed (at), to serve (in); to serve (as), to act (as), to fill (the position of), to play the role (of); to conduct a religious service"
"詰らない","つまらない, つまらねー","dull, uninteresting, boring, tedious; insignificant, unimportant, trifling, trivial, worthless; absurd, foolish, silly, stupid; useless, pointless, disappointing"
"冷たい","つめたい, つべたい","cold (to the touch), chilly, icy, freezing; (emotionally) cold, coldhearted, unfeeling, indifferent, unfriendly, distant"
"強い","つよい","strong, potent, competent, domineering, tough; strong, brawny, powerful, healthy, rugged; good (at), skilled, knowledgeable; being able to handle, know how to deal (with), durable (against), resistant (to), resilient; firm, rigid, solid; intense, strong, fierce, high; dependable, trustworthy"
"手","て","hand, arm; forepaw, foreleg; handle; hand, worker, help; trouble, care, effort; means, way, trick, move, technique, workmanship; hand, handwriting; kind, type, sort; one's hands, one's possession; ability to cope; hand (of cards); direction; move (in go, shogi, etc.)"
"手紙","てがみ","letter, note"
"","テスト","test (of ability, knowledge, etc.), exam, examination, quiz; test (of performance, quality, etc.), trial; rehearsal"
"","テレビ","television, TV; TV program, TV programme, TV broadcast"
"天気","てんき","weather; fair weather, fine weather"
"","テーブル","table"
"","テープ","tape"
"","テープレコーダー, テープ・レコーダー, テープレコーダ, テープ・レコーダ","tape recorder"
"出かける","でかける","to go out (e.g. on an excursion or outing), to leave, to depart, to start, to set out; to be about to leave, to be just going out"
"出来る","できる","to be able to do, to be possible, to be permitted (to do); to be good at, to do well, to be proficient (in), to be capable; to come into existence, to form, to appear, to come up (of a matter), to be born, to make (a friend), to get (a girlfriend, free time, etc.); to be made, to be built, to be constructed, to be formed, to be established, to be set up; to be finished, to be completed, to be done, to be ready; to grow (of a crop), to be produced; to be mature and well-balanced, to be of fine character; to be by nature, to be born ...; to become (sexually) involved (with), to become intimate (with), to take up (with someone); to get pregnant"
"出口","でぐち","exit, way out; outlet, vent"
"","では","then, well, so, well then; bye then; at, in, by, with, using; if not ..., unless ..."
"","デパート","department store; department"
"","でも","but, however, though, nevertheless, still, yet, even so, also, as well; even; however, no matter how, even if, even though; ... or something; either ... or ..., neither ... nor ...; pseudo-, quack, in-name-only; for lack of anything better to do"
"出る","でる","to leave, to exit, to go out, to come out, to get out; to leave (on a journey), to depart, to start out, to set out; to move forward; to come to, to get to, to lead to, to reach; to appear, to come out, to emerge, to surface, to come forth, to turn up, to be found, to be detected, to be discovered, to be exposed, to show, to be exhibited, to be on display; to appear (in print), to be published, to be announced, to be issued, to be listed, to come out; to attend, to participate, to take part, to enter (an event), to play in, to perform; to be stated, to be expressed, to come up, to be brought up, to be raised; to sell; to exceed, to go over; to stick out, to protrude; to break out, to occur, to start, to originate; to be produced; to come from, to be derived from; to be given, to get, to receive, to be offered, to be provided, to be presented, to be submitted, to be handed in, to be turned in, to be paid; to answer (phone, door, etc.), to get; to assume (an attitude), to act, to behave; to pick up (speed, etc.), to gain; to flow (e.g. tears), to run, to bleed; to graduate; to ejaculate, to cum"
"電気","でんき","electricity; (electric) light"
"電車","でんしゃ","train, electric train"
"電話","でんわ","telephone call, phone call; telephone (device), phone"
"戸","と","door (esp. Japanese-style); shutter, window shutter; entrance (to a home); narrows"
"","トイレ","toilet, restroom, bathroom, lavatory; going to the toilet, relieving oneself"
"遠い","とおい","far, distant, far away, a long way off, in the distance; distant (past), remote (in time), remote, far-removed (in time); distant (relationship or kinship), having little to do (with someone); far (from something else in quality, degree, etc.), not similar, way off; hard (of hearing); nearsighted"
"１０日","とおか","10th day of the month; ten days"
"時々","ときどき","sometimes, occasionally, at times, from time to time, now and then, once in a while, at intervals; seasonal, of the season, appropriate (for the season or occasion)"
"時計","とけい","clock, watch, timepiece"
"所","ところ, とこ","place, spot, scene, site; address; district, area, locality; one's house; point, aspect, side, facet; passage (in text), part; space, room; thing, matter; whereupon, as a result; about to, on the verge of; was just doing, was in the process of doing, have just done, just finished doing; approximately, around, about"
"年","とし","year; age, years; past one's prime, old age"
"図書館","としょかん, ずしょかん","library"
"迚も","とても, とっても","very, awfully, exceedingly; (not) at all, by no means, simply (cannot)"
"隣","となり","next (to), adjoining, adjacent; house next door, neighbouring house, next-door neighbour, next-door neighbor"
"飛ぶ","とぶ","to fly, to soar; to jump, to leap, to spring, to bound, to hop; to spatter, to scatter, to splash, to fly (e.g. of sparks); to hurry, to rush; to flee, to run off, to escape; to disappear, to vanish, to fade, to thin out; to break off, to come off, to fall off, to blow (of a fuse); to be sent out (of an order), to fly (of false rumours, catcalls, etc.); to come flying (of a punch, kick, etc.); to be missing (of a page, stitch, etc.), to skip, to jump (e.g. of a conversation)"
"止まる","とまる","to stop (moving), to come to a stop; to stop (doing, working, being supplied), to come to a halt, to cease, to be stopped, to be suspended; to alight, to perch on"
"友達","ともだち, トモダチ","friend, companion"
"鳥","とり, トリ","bird; bird meat (esp. chicken meat), fowl, poultry"
"鶏肉","とりにく, けいにく, ちょうにく","chicken meat; fowl, poultry, bird meat"
"取る","とる","to take, to pick up, to grab, to catch, to hold; to pass, to hand, to give; to get, to obtain, to acquire, to win, to receive, to earn, to take (e.g. a vacation); to adopt (a method, proposal, etc.), to take (a measure, attitude, etc.), to choose; to remove, to get rid of, to take off; to take away, to steal, to rob; to eat, to have (e.g. lunch), to take (e.g. vitamins); to pick (e.g. flowers), to gather, to extract (e.g. juice), to catch (e.g. fish), to harvest (a crop); to take up (time, space), to occupy, to spare, to set aside; to secure, to reserve, to save, to put aside, to keep; to take (e.g. a joke), to interpret, to understand, to make out, to grasp; to record, to take down; to subscribe to (e.g. a newspaper), to take, to buy, to get; to order, to have delivered; to charge, to fine, to take (tax); to take (e.g. a wife), to take on (e.g. an apprentice), to adopt, to accept; to take control of, to take (the rudder); to compete (in sumo, cards, etc.), to play"
"撮る","とる","to take (a photograph); to record (audio or video), to film, to shoot"
"","ドア, ドアー","door"
"如何","どう","how, in what way, how about"
"如何して","どうして, どーして","how, in what way, by what means; why, for what reason, for what purpose, what for; cannot possibly; no way"
"","どうぞ","please, kindly, pray, I beg (of you); by all means, certainly, of course, (go) ahead, (feel) free (to), (you are) welcome (to), please (help yourself to); here you are; to give"
"動物","どうぶつ","animal"
"","どうも","thank you, thanks; much (thanks), very (sorry), quite (regret); quite, really, mostly; somehow; in spite of oneself, try as one might, no matter how hard one may try (to, not to); greetings, hello, goodbye"
"何処","どこ, いずこ, いずく, いづこ, いどこ","where, what place; how much (long, far), what extent"
"何方","どちら, どっち","which way, which direction, where; which one (esp. of two alternatives); who"
"何方","どなた","who"
"何の","どの","which, what (way)"
"土曜日","どようび","Saturday"
"何れ","どれ","which (of three or more); well, now, c'mon"
"","ナイフ","knife"
"中","なか","inside, interior; among, within; middle, center, centre; during, while, middle, midst, amid; interval, gap; mean, average; second (of three, e.g. sons, volumes), middle; medium grade, medium quality; red-light district"
"長い","ながい, ながーい, なっがい, なげー","long (distance, length); long (time), protracted, prolonged"
"鳴く","なく","to make sound (of an animal), to call, to cry, to whine, to sing, to chirp; to make a meld call (e.g. pung, kong)"
"無くす","なくす","to lose (something); to get rid of, to eliminate, to remove, to eradicate, to abolish"
"何故","なぜ","why, how, for what reason"
"夏","なつ","summer"
"夏休み","なつやすみ","summer vacation, summer holiday"
"等","など","et cetera, etc., and the like, and so forth; or something; the likes of; for example, for instance, for one"
"七つ","ななつ","seven; seven years of age; four o'clock (old time system)"
"７日","なのか, なぬか","7th day of the month; seven days"
"名前","なまえ","name; given name, first name"
"習う","ならう","to take lessons in, to be taught, to learn (from a teacher), to study (under a teacher), to get training in"
"並ぶ","ならぶ","to line up, to stand in a line; to rival, to match, to equal"
"並べる","ならべる","to line up, to set up, to arrange in a line; to enumerate, to itemize; to be equal (to), to compare well (with), to be as good (as)"
"成る","なる","to become, to get, to grow, to turn, to reach, to attain; to result in, to turn out, to end up, to prove (to be); to consist of, to be composed of, to be made up of; to be completed, to be realized, to succeed, to be attained, to be accomplished; to change (into), to turn (into), to transform; to come (to do), to begin (to do), to grow (to do); to come to, to amount to, to add up to, to make; to play (the part of), to act as; to be used for, to be useful for, to serve as; to be promoted; to do ..."
"何","なん","what; how many; many, a lot of; several, a few, some"
"二","に, ふた, ふ, ふう","two, 2"
"賑やか","にぎやか","bustling, busy, crowded, lively, prosperous, thriving; lively (party, voices, etc.), loud, noisy, merry, cheerful"
"肉","にく","flesh; meat; flesh (of a fruit), pulp; the physical body (as opposed to the spirit), flesh; thickness; content, substance, flesh; ink pad"
"西","にし","west"
"日曜日","にちようび","Sunday"
"荷物","にもつ","luggage, baggage, package; burden; payload (of a packet, cell, etc.)"
"","ニュース, ニューズ","news"
"庭","にわ","garden, yard, courtyard; field (of action), area"
"脱ぐ","ぬぐ","to take off (clothes, shoes, etc.), to undress"
"温い","ぬるい","lukewarm, tepid; lenient"
"","ネクタイ","tie, necktie"
"猫","ねこ, ネコ","cat (esp. the domestic cat, Felis catus); shamisen; geisha; wheelbarrow; clay bed-warmer; bottom (submissive partner of a homosexual relationship)"
"寝る","ねる","to sleep (lying down); to go to bed, to lie in bed; to lie down; to sleep (with someone, i.e. have intercourse); to lie flat (e.g. of hair); to lie idle (of funds, stock, etc.); to ferment (of soy sauce, miso, etc.)"
"上る","のぼる","to ascend, to go up, to climb; to ascend (as a natural process, e.g. the Sun), to rise; to go to (the capital); to be promoted; to add up to; to advance (in price); to swim up (a river), to sail up; to come up (on the agenda)"
"飲み物","のみもの","drink, beverage"
"飲む","のむ","to drink, to swallow, to take (medicine); to smoke (tobacco); to swallow up, to engulf; to suppress (one's anger, bitter feelings, etc.), to keep down, to hold back, to swallow (one's tears), to catch (one's breath); to accept (a demand, conditions, etc.), to agree to; to make light of (someone), to think nothing of, to overwhelm, to overawe; to carry (a concealed dagger, etc.), to conceal (up one's sleeve, etc.)"
"乗る","のる, ノる","to get on (train, plane, bus, ship, etc.), to get in, to board, to take, to embark; to get on (e.g. a footstool), to step on, to jump on, to sit on, to mount; to reach, to go over, to pass; to follow, to stay (on track), to go with (the times, etc.); to take part, to participate, to join; to get into the swing (and sing, dance, etc.); to be deceived, to be taken in; to be carried, to be spread, to be scattered; to stick, to attach, to take, to go on"
"","ノート","notebook, copy-book, exercise book; note, noting down; (musical) note; laptop (computer), notebook (computer)"
"歯","は","tooth, teeth; tooth (of a comb, saw, etc.), cog; support (of a geta)"
"","はい, はーい, はーーい","yes, that is correct; understood, I see, OK, okay; present, here; pardon?, what's that?, come again?; now, here, here you go; giddy-up, giddap"
"灰皿","はいざら","ashtray"
"入る","はいる","to enter, to come in, to go in, to get in, to arrive; to join (a club, company, etc.), to enter (a university, the army, etc.), to enroll (in), to go into (e.g. politics), to get into; to be contained (in), to be included (in), to be inside (e.g. a box), to come under (a heading), to belong (in a category); to (be able to) fit (in a container, building, etc.), to be (able to be) held, to be (able to be) accommodated; to be introduced, to be brought in, to be installed; to be received, to be obtained; to be scored (of points), to be won (of votes); to turn on, to start functioning, to start working; to enter (a month, season, etc.), to reach (e.g. a climax), to get to (e.g. the main topic), to enter into (e.g. negotiations), to start (doing), to begin; to form (of a crack, fissure, etc.), to develop; to be put in (of effort, spirit, feeling, etc.), to be applied (e.g. of strength); to be ready (of tea, coffee, etc.), to be made; to enter the body (of alcohol), to become drunk"
"葉書","はがき, ハガキ","postcard; memo, note, card"
"履く","はく","to put on (lower-body clothing, e.g. pants, skirt, footwear), to wear; to affix (a sword to one's hip); to affix (a bowstring to a bow)"
"箱","はこ, ハコ","box, case, chest, package, pack, crate; car (of a train, etc.); shamisen case, shamisen; public building, community building; man who carries a geisha's shamisen; receptacle for human waste, feces (faeces); counter for boxes (or boxed objects)"
"箸","はし","chopsticks"
"橋","はし","bridge"
"走る","はしる","to run; to run (of a vehicle), to drive, to travel, to move, to sail; to rush (to), to dash, to race; to retreat, to flee, to defect (to); to run away, to abscond, to elope; to flash (of lightning), to streak, to shoot (through; e.g. of pain), to run (through), to flare, to flit (e.g. across one's face), to spread quickly (of news, shock, etc.); to go (e.g. bad, to extremes), to become, to turn, to take to (e.g. crime), to get carried away by (e.g. one's emotions), to get involved in, to get wrapped up in; to run (through; of a road, street, etc.), to extend (e.g. of a mountain range), to stretch, to lie"
"始まる","はじまる","to begin, to start, to commence; to happen (again), to begin (anew); to date (from), to originate (in)"
"始め","はじめ","beginning, start, outset, opening; first (in line, etc.); origin; such as ..., not to mention ..."
"初めて","はじめて","for the first time; only after ... is it ..., only when ... do you ..., not until ... do you ...; first time, (one's) first"
"２０歳","はたち, にじゅっさい, にじっさい","20 years old; twenty"
"働く","はたらく","to work, to labor, to labour; to function, to operate, to be effective, to work (i.e. ... works), to come into play; to commit (e.g. a crime), to perpetrate, to do, to act, to practise, to practice; to be conjugated"
"八","はち, や","eight, 8"
"２０日","はつか, にじゅうにち","20th day of the month; 20 days"
"花","はな","flower, blossom, bloom, petal; cherry blossom; beauty; blooming (esp. of cherry blossoms); ikebana; hanafuda; (the) best; glorious, lovely"
"鼻","はな","nose"
"話","はなし","talk, speech, chat, conversation; topic, subject; discussions, negotiation, argument; rumor, talk, hearsay; tale, story, fable; circumstances, particulars"
"話す","はなす","to talk, to speak, to converse, to chat; to tell, to explain, to narrate, to mention, to describe, to discuss; to speak (a language)"
"早い","はやい, はえー, はっやい, はっやーい, はやーい","fast, quick, rapid, swift, speedy, brisk, prompt; early, soon, earlier than usual; premature, too soon, too early; easy, simple, quick, fast; as soon as ..., the moment ..., the instant ..."
"春","はる","spring, springtime; New Year; prime (of life), height (of one's prosperity), heyday; adolescence, puberty; sexuality, sexual desire"
"張る","はる","to stick, to paste, to affix; to stretch, to spread, to strain, to tighten, to put up (e.g. a tent); to form (e.g. ice on a pond); to fill, to swell; to stick out, to push out; to post (a link, etc. online); to be expensive; to keep a watch on, to be on the lookout; to slap; to become one tile away from completion; to span, to generate"
"晴れ","はれ","clear weather, fine weather; formal, ceremonial, public; cleared of suspicion"
"晴れる","はれる","to clear up, to clear away, to be sunny, to stop raining; to refresh (e.g. spirits); to be cleared (e.g. of a suspicion); to be dispelled, to be banished"
"半","はん","half, semi-, partial; half-past; odd number; han (unit of land area, approx. 595.8 m^2)"
"","ハンカチ, ハンケチ","handkerchief"
"半分","はんぶん","half"
"","バス","bus"
"","バター, バタ","butter"
"晩","ばん","evening, night; dinner, evening meal; counter for nights"
"番号","ばんごう","number, series of digits"
"晩御飯","ばんごはん","dinner, evening meal"
